Mechanic_Category,Mechanic_Name,Quick_Formula,Example_Usage,CSV_Reference,Page_Reference
Initiative,Turn Order,"Initiative = AGL + (INS/2) + Threat_Bonus + Power_Bonus + Equipment ± Situation","Batman: 60 + 37 + 0 + 0 + 5 = 102 initiative",Initiative_Turn_Order.csv,Combat System Section
Accuracy,Hit Calculation,"Accuracy = Base_Skill + Power_CS + Equipment_CS + Environment - Target_Defense","Shield throw: +2CS skill +1CS leadership -2CS smoke +0CS base = +1CS total",Complete_Skills_Talents.csv + Combat modifiers,Combat Resolution Process
Damage,Damage Calculation,"Damage = Base_Weapon + Power_Bonus + STR_Bonus + Accuracy_Multiplier","Sword: 15 base + 0 power + 3 STR + 50% yellow = 27 total damage",Weapons.csv + LSW_Power_Combat_Mechanics.csv,Damage Calculation
Armor,Damage Reduction,"Final_Damage = Raw_Damage - Armor_DR × Condition_Multiplier","45 damage - 18 DR × 0.75 condition = 31 final damage",Armor_Equipment.csv,Equipment System
Knockback,Environmental Impact,"Knockback_Distance = Attacker_STR_Rank (if Major Success+)","STR 60 (Incredible rank) = 7 squares knockback distance",Knockback_Mechanics.csv,Environmental Destruction
Object_Throwing,Improvised Weapons,"Range = (STR - Weight/50) × Range_Modifier","STR 70, Car 2800 lbs: (70-56) × 0.2 = 2.8 squares range",Environmental_Objects.csv + Throwing_Mechanics.csv,Object Throwing System
Flight,Altitude Combat,"Height_Advantage = +1CS per altitude level difference (max +3)","Altitude 4 vs Ground = +3CS attack bonus",Flight_Altitude_System.csv,Flight Combat
Status_Effects,Condition Application,"Duration = Base_Duration + Severity_Multiplier","Bleeding II: 5 turns base + major severity = 8 turns total",Status_Effects_Complete.csv,Status Effect System
Investigation,Information Gathering,"Success = (Investigator_Skill + Method_Bonus + Country_Bonus) / Investigation_Difficulty","Detective skill +4CS + Official method +1CS + Allied country +2CS vs Difficulty 8 = Success",Investigation_Templates.csv + Investigation_Methods.csv,Investigation Framework
Career,Character Advancement,"Tech_Unlock = Career_Rank + Education_Level + Country_Education_Bonus","Engineering Rank 3 + Education 4 + High country education = Advanced tech access",Technology_Trees_Integrated.csv,Character Progression
Time_Travel,Temporal Mechanics,"Timeline_Impact = Time_Distance × Power_Level × Paradox_Risk","1 week travel × Level 4 power × 3 paradox risk = Major timeline impact",LSW_Power_Combat_Mechanics.csv Time powers,Advanced Powers
Faction_Relations,Political Impact,"Political_Effect = Action_Impact × Faction_Relationship × International_Visibility","Property damage × Enemy nation × Global visibility = International incident",Public_Perception.csv + Country relationships,Political System
Legal_Consequences,Aftermath Impact,"Legal_Cost = Property_Damage + Civilian_Impact × Jurisdiction_Multiplier","$50K damage + 3 civilians × Federal jurisdiction = $350K+ total liability",Public_Perception.csv,Legal Framework
Equipment_Degradation,Gear Maintenance,"New_Condition = Current_Condition - (Damage_Taken / Armor_Points)","85% condition - (30 damage / 120 max) = 60% new condition",Armor_Equipment.csv,Equipment Management
Power_Scaling,Threat Progression,"Power_Effectiveness = Base_Power + (Threat_Level × Scaling_Factor)","Fire generation: 30 base + (Level 3 × 10) = 60 total damage",LSW_Power_Combat_Mechanics.csv,Power System
Team_Coordination,Group Tactics,"Team_Bonus = Leadership_Skill + Formation_Type + Communication_Equipment","Leadership 3 + Military formation + Radio = +5CS team actions",Complete_Skills_Talents.csv + Team mechanics,Team Combat
Environmental_Hazards,Area Effects,"Hazard_Damage = Source_Power + Environmental_Vulnerability × Duration","Fire power 40 + Flammable environment ×3 × 5 turns = 200 total area damage",Environmental_Objects.csv + Power interactions,Environmental Combat
Medical_Treatment,Injury Recovery,"Recovery_Time = Injury_Severity × Treatment_Quality × Character_Constitution","Broken arm: Severe injury × Hospital treatment × CON 50 = 6 weeks recovery",Status_Effects_Complete.csv + Medical system,Medical System
Experience_Gain,Character Development,"XP_Gained = Mission_Difficulty × Performance_Rating × Learning_Bonus","Level 3 mission × Excellent performance × Education bonus = 750 XP",Player_Scaling.csv + Character advancement,Progression System
Resource_Generation,Economic System,"Daily_Income = Country_Wealth × Faction_Standing × Team_Success_Rating","High wealth × Allied standing × Success rating = $15K daily income",Country database + Faction relations,Economic Framework
Investigation_Generation,Event Creation,"Investigation_Frequency = City_Crime_Index × City_Type_Modifier × Random_Events","Crime 75 × Industrial modifier × Random = 3 investigations per week",Investigation_Templates.csv + City database,Investigation Generation
Combat_Duration,Battle Length,"Combat_Length = (Total_Health / Average_Damage) × Tactical_Complexity","200 total HP / 35 avg damage × 1.5 complexity = 8.5 rounds estimated",Combat statistics + Balance analysis,Combat Pacing
Critical_Hit_Frequency,Drama Generation,"Critical_Rate = Base_5% + Skill_Bonus + Luck_Modifiers","5% base + Expert skill 3% + Good luck 2% = 10% critical rate",Critical hit tables + Skill system,Combat Drama
Power_Interaction,Power vs Power,"Interaction_Result = Power_Type_A vs Power_Type_B + Level_Difference","Fire Level 3 vs Ice Level 2 = Fire advantage + 1 level = +3CS Fire bonus",LSW_Power_Combat_Mechanics.csv Power interactions,Power Balance
Ammunition_Consumption,Resource Management,"Ammo_Usage = Weapon_Type × Combat_Duration × Accuracy_Rate","Rifle × 8 rounds × 60% accuracy = 5 rounds consumed per combat",Ammunition_System.csv + Combat tracking,Resource Management
Vehicle_Combat,Transportation Combat,"Vehicle_Effectiveness = Vehicle_Stats + Driver_Skill + Environmental_Suitability","Helicopter + Pilot skill + Open terrain = +5CS combat effectiveness",Vehicle integration + Environmental factors,Vehicle System
Civilian_Impact,Collateral Damage,"Civilian_Casualties = Combat_Intensity × Population_Density × Protection_Efforts","High intensity × Dense population × Poor protection = 15 civilian casualties",Public_Perception.csv + City population data,Civilian Protection
Property_Damage_Calculation,Economic Impact,"Property_Cost = Base_Damage × Location_Value × Insurance_Multiplier","$100K base × Urban location × 2.5 insurance = $250K total property damage",Public_Perception.csv + Location economics,Economic Consequences
Faction_Authority,Political Power,"Authority_Level = Faction_Rank × Government_Cooperation × International_Standing","National rank × Federal cooperation × Allied standing = Diplomatic immunity",Faction progression + Government relations,Political Authority
Technology_Research,Innovation System,"Research_Success = Researcher_Skill × Equipment_Quality × Country_Education × Time","Engineering 4 × Advanced lab × High education × 30 days = Successful innovation",Technology_Trees_Integrated.csv + Research system,Technology Development
Alien_Interaction,Xenobiology,"Alien_Communication = Symbiote_Bond × Communication_Method × Trust_Level","High bond × Telepathic method × Established trust = Clear communication",LSW powers Symbiotic + Alien species,Advanced Powers
Temporal_Stability,Time Travel Effects,"Paradox_Risk = Time_Distance × Timeline_Changes × Temporal_Anchor_Strength","Major time travel × Reality changes × Weak anchors = High paradox risk",Time powers + Reality manipulation,Temporal Mechanics
Reality_Manipulation,Cosmic Powers,"Reality_Change = Power_Level × Scope × Universal_Resistance","Level 5 power × Local scope × Normal resistance = Significant local reality change",LSW_Power_Combat_Mechanics.csv Reality powers,Cosmic Combat
International_Law,Global Politics,"Legal_Jurisdiction = Incident_Location × Faction_Authority × Treaty_Obligations","Enemy territory × No authority × LSW treaty = International court jurisdiction",Country relationships + Legal framework,International System
Emergency_Protocols,Crisis Management,"Emergency_Response = Threat_Level × Civilian_Risk × Government_Capability","Level 4 threat × High civilian risk × Federal capability = Military intervention",Emergency response + Government cooperation,Crisis System
Media_Coverage,Information Warfare,"Media_Impact = Event_Visibility × Political_Spin × Media_Freedom","Global visibility × Hostile spin × Restricted media = Negative propaganda campaign",Public_Perception.csv + Country media freedom,Information System
Base_Operations,Headquarters Management,"Base_Effectiveness = Location_Benefits × Facility_Level × Team_Size × Security","Strategic location × Advanced facility × Large team × High security = Maximum effectiveness",Headquarters system + Location benefits,Base Management
Mission_Generation,Content Creation,"Mission_Availability = Player_Level × Geographic_Authority × Faction_Relations × World_Events","National level × Federal authority × Allied relations × Crisis events = High-level mission access",Player_Scaling.csv + World events + Politics,Mission System
Character_Relationships,Social Dynamics,"Relationship_Effect = Personal_History × Shared_Experiences × Personality_Compatibility","Long history × Combat partnership × Compatible goals = Strong positive relationship",Character relationships + Social system,Social Framework
Equipment_Customization,Gear Modification,"Modification_Success = Engineering_Skill × Technology_Level × Available_Materials","Engineering 4 × Advanced tech × Rare materials = Successful custom equipment",Technology research + Engineering skills,Equipment Development
Cultural_Integration,World Authenticity,"Cultural_Accuracy = Country_Research × Local_Contacts × Cultural_Sensitivity","Deep research × Native contacts × High sensitivity = Authentic cultural representation",Country database + Cultural research,Cultural System