Player_Level,Level_Name,Experience_Range,Available_Missions,Geographic_Scope,Team_Size_Limit,Funding_Level,Technology_Access,Political_Authority,Threat_Level_Cap,Enemy_Types,Unlock_Requirements,Progression_Time_Estimate
1,Street Operative,0-500 XP,Local crime; Missing persons; Gang activity,Single city,1-2 characters,$5K-$15K,Basic equipment only,No political authority,Alpha-Threat Level 1,Street criminals; Gang members; Corrupt officials,Complete tutorial; Establish base,$0 initial; 7-14 real days
2,City Defender,501-1500 XP,Corporate investigation; Police cooperation; Gang wars,Metropolitan area,2-4 characters,$15K-$50K,Standard equipment and vehicles,Local law enforcement cooperation,Threat Level 1-2,Organized crime; Corporate villains; Rogue LSWs,Complete 5 street-level investigations; Gain local reputation,14-30 real days
3,Regional Agent,1501-4000 XP,State/province missions; Cross-city operations; Military cooperation,State/Province level,3-6 characters,$50K-$150K,Advanced equipment and aircraft,State government cooperation,Threat Level 2-3,Regional crime syndicates; State-level threats; Foreign agents,Complete 10 city-level missions; Gain state recognition,30-60 real days
4,National Operative,4001-10000 XP,Federal missions; International incidents; Counter-terrorism,National boundaries,4-8 characters,$150K-$500K,Military-grade equipment,Federal government authority,Threat Level 3-4,National threats; International terrorists; Enemy nation agents,Complete 15 regional missions; Gain federal clearance,60-120 real days
5,International Coordinator,10001-25000 XP,Global missions; Alien encounters; Reality threats,Continental scope,6-12 characters,$500K-$2M,Cutting-edge technology,International diplomatic immunity,Threat Level 4-5,Global conspiracies; Alien threats; Reality manipulators,Complete 20 national missions; Gain UN recognition,120-180 real days
6,Cosmic Guardian,25001+ XP,Universal threats; Timeline protection; Reality stabilization,Unlimited scope,8-15 characters,$2M+,Alien and cosmic technology,Universal authority,Threat Level 5+,Cosmic entities; Timeline destroyers; Reality enders,Complete 25 international missions; Save reality,180+ real days
Mission_Street_Crime,Street Level,Local police cooperation,Street gang violence requiring LSW intervention,Single city block to neighborhood,1-2 hours,Low risk,Basic criminals with conventional weapons,Local news coverage,Local reputation only,+50 XP per mission
Mission_Corporate_Investigation,City Level,Corporate or federal cooperation,Corporate malfeasance requiring investigation,Corporate facilities within metropolitan area,1-3 days,Moderate risk,Corporate security and hired LSWs,Regional news coverage,Regional reputation impact,+150 XP per mission
Mission_Gang_War,City Level,Law enforcement cooperation,Gang conflicts involving LSW mercenaries,Multiple city districts,2-5 days,High risk,Gang LSWs and heavy weapons,National news coverage,City and regional reputation,+200 XP per mission
Mission_State_Security,Regional Level,State government cooperation,Threats to state government or infrastructure,Entire state or province,3-7 days,High risk,State-level threats and enemy agents,National news coverage,State and federal reputation,+400 XP per mission
Mission_Counter_Terrorism,National Level,Federal government cooperation,Terrorist threats requiring LSW response,Multiple states or entire nation,5-14 days,Very high risk,Terrorist LSWs and WMDs,International news coverage,National and international reputation,+750 XP per mission
Mission_International_Crisis,International Level,United Nations cooperation,International incidents requiring intervention,Multiple countries,7-21 days,Extreme risk,Foreign nation LSWs and military,Global news coverage,Global reputation impact,+1500 XP per mission
Mission_Alien_Contact,Cosmic Level,Global cooperation,Alien encounters requiring immediate response,Potentially entire planet,14-60 days,Reality-threatening risk,Alien technology and cosmic powers,Cosmic significance coverage,Universal reputation,+3000 XP per mission
Enemy_Street_Criminal,Threat Level Alpha,Basic human criminal,Street-level crime with conventional weapons,Local police jurisdiction,No special powers; relies on conventional crime,Arrest and standard legal processing,Basic criminal background,Local law enforcement handles prosecution
Enemy_Gang_LSW,Threat Level 1-2,Gang member with powers,Criminal organization with LSW enhancement,Metropolitan jurisdiction,Single LSW power; criminal training; gang resources,Capture and LSW containment facility,Gang affiliation background,Federal LSW prosecution required
Enemy_Corporate_Villain,Threat Level 2-3,Corporate executive with resources,Corporate-funded LSW operations,State jurisdiction,LSW powers + corporate resources + legal protection,Corporate prosecution; asset seizure,Corporate executive background,Complex legal proceedings involving corporate law
Enemy_State_Actor,Threat Level 3-4,Foreign government agent,Nation-state sponsored LSW operations,National jurisdiction,Military training + LSW powers + state resources,International tribunal; prisoner exchange,Foreign agent background,International law and diplomatic immunity issues
Enemy_Global_Threat,Threat Level 4-5,International terrorist or rogue nation,Global-scale threats requiring international response,International jurisdiction,Advanced LSW powers + international resources + ideology,International criminal court; global cooperation,Terrorist or rogue state background,United Nations involvement and international coalition
Enemy_Cosmic_Entity,Threat Level 5+,Reality-threatening force,Universal threats requiring cosmic intervention,Universal jurisdiction,Reality-altering powers + cosmic knowledge + unlimited resources,Cosmic justice; reality tribunal,Cosmic entity background,Reality law and multidimensional legal systems
Faction_Progression_Local,Progression Type,Local operations focus,Building reputation and capabilities within single metropolitan area,Emphasis on community relations and local problem solving,Character development focused on local skills,Technology development limited to local resources,Political influence limited to city government,Maximum Threat Level 2 enemies
Faction_Progression_National,Progression Type,National operations focus,Expanding to cover entire nation with federal cooperation,Balance between local communities and national security,Character development includes federal training,Access to national technology and military resources,Federal government cooperation and authority,Maximum Threat Level 4 enemies
Faction_Progression_International,Progression Type,Global operations focus,Operating across multiple nations with UN cooperation,Global perspective while maintaining local connections,Character development includes international training,Access to cutting-edge global technology,International diplomatic authority and immunity,Maximum Threat Level 5+ enemies
Resource_Local,Resource Access,Local business and government,Basic equipment and local government cooperation,$5K-$50K annual budget,Local equipment vendors,Basic medical and legal support,Limited political protection,Local law enforcement backup only
Resource_National,Resource Access,Federal government and military,Advanced equipment and federal cooperation,$50K-$2M annual budget,Military contractors and federal suppliers,Federal medical and legal support,Federal law enforcement authority,Military backup and intelligence support
Resource_International,Resource Access,International cooperation and treaties,Cutting-edge equipment and global cooperation,$2M-$50M annual budget,International technology sharing,International medical and legal immunity,Diplomatic immunity and protection,International military and intelligence cooperation
Resource_Cosmic,Resource Access,Alien technology and cosmic knowledge,Reality-altering technology and cosmic authority,$50M+ annual budget,Alien technology and cosmic artifacts,Cosmic medical and reality healing,Universal authority and cosmic law,Cosmic entity cooperation and protection
Time_Investment_Street,Time Requirement,1-4 real days per major operation,Street-level missions require minimal time investment,Can maintain civilian jobs and normal life,Characters available for other activities quickly,Limited strategic planning required,Quick resolution keeps public attention minimal
Time_Investment_City,Time Requirement,5-14 real days per major operation,City-level missions require moderate time commitment,Some civilian life disruption; professional focus required,Characters committed for extended periods,Moderate strategic planning and resource allocation,Extended operations increase public and legal scrutiny
Time_Investment_National,Time Requirement,15-45 real days per major operation,National missions require significant time and resource commitment,Full-time professional LSW operation required,Characters unavailable for civilian activities for extended periods,Extensive strategic planning and international coordination required,Major operations become significant political and legal events
Time_Investment_Global,Time Requirement,45+ real days per major operation,Global missions require total commitment of faction resources,Complete dedication to LSW operations; no civilian life possible,All faction resources committed for extended periods,Ultimate strategic planning involving multiple governments,Operations become historically significant events affecting global politics
Catch_Up_Mechanism_Mentoring,New Player Support,Experienced players can mentor newcomers,Veterans can train new players for accelerated progression,Experienced players get reputation bonus for mentoring,New players gain experience 50% faster with mentor,Mentoring creates alliance opportunities,Political benefits for faction cooperation
Catch_Up_Mechanism_Resource_Sharing,New Player Support,Factions can share resources with newcomers,Veterans can provide equipment and funding to new players,Resource sharing creates diplomatic relationships,New players gain access to better equipment earlier,Resource sharing affects faction relationships,Economic benefits for international cooperation
Catch_Up_Mechanism_Information,New Player Support,Intelligence sharing between faction levels,Veterans can share investigation results and intelligence with newcomers,Information sharing prevents duplicate efforts,New players benefit from veteran discoveries,Intelligence cooperation creates strategic advantages,Political intelligence cooperation benefits
Server_Balance_Geographic,Server Management,Players assigned by geographic preference,New players start in different geographic regions to prevent veteran domination,Geographic separation reduces direct competition,Resource distribution ensures regional balance,Different regions offer different advantages,Global balance prevents any single region from dominating