Strength_Value,Strength_Category,Lifting_Capacity,Breaking_Examples,Throwing_Examples,Real_World_Equivalent,Combat_Damage_Bonus,Environmental_Interaction,Character_Examples
1-9,Feeble,25 lbs,Paper; thin glass,Pebbles; coins,Child or elderly person,STR/10 (0-1 damage),Cannot break basic materials,Severely weakened individual
10-19,Poor,50 lbs,Wood; thick glass,Books; shoes,Weak adult,STR/10 (1-2 damage),Can break fragile items,Untrained civilian
20-29,Typical,200 lbs,Wooden door; window,Chairs; small appliances,Average adult,STR/10 (2-3 damage),Can break common household items,Normal human baseline
30-39,Good,400 lbs,Interior wall; car window,Bicycles; furniture,Athletic adult,STR/10 (3-4 damage),Can break standard construction materials,Trained athlete or laborer
40-49,Excellent,800 lbs,Exterior door; reinforced glass,Motorcycles; vending machines,Professional athlete,STR/10 (4-5 damage),Can break reinforced materials,Olympic athlete or strongman
50-59,Remarkable,1 ton,Brick wall; car frame,Compact cars; small trees,Peak human strength,STR/10 (5-6 damage),Can break vehicle frames and walls,World's strongest humans
60-69,Incredible,2 tons,Steel wall; reinforced concrete,SUVs; large trees,Low superhuman,STR/10 (6-7 damage),Can break military-grade materials,Enhanced human or low-level LSW
70-79,Amazing,5 tons,Tank armor; bunker walls,Trucks; construction equipment,Moderate superhuman,STR/10 (7-8 damage),Can break armored military vehicles,Moderate-level LSW
80-89,Monstrous,10 tons,Building foundations; steel bridges,City buses; heavy machinery,High superhuman,STR/10 (8-9 damage),Can break major infrastructure,High-level LSW
90-99,Unearthly,25 tons,Skyscrapers; mountain rock,Semi trucks; small buildings,Low cosmic level,STR/10 (9-10 damage),Can break massive structures,Cosmic-level LSW
100-124,Shift X,50 tons,Large buildings; geological features,Large buildings; massive vehicles,Moderate cosmic,STR/8 (12-15 damage),Can break geological features,Planetary-level LSW
125-149,Shift Y,100 tons,Mountains; massive structures,Mountains; city blocks,High cosmic,STR/6 (20-25 damage),Can reshape landscape,Continental-level LSW
150-174,Shift Z,500 tons,Continental shelves; tectonic plates,Continental features; massive structures,Supreme cosmic,STR/4 (35-40 damage),Can affect geological processes,Reality-affecting LSW
175-199,Class 1000,2500 tons,Planetary crust; massive geological structures,Planetary surface features,Planetary level,STR/3 (55-65 damage),Can affect planetary structure,Planet-threatening LSW
200+,Class 5000+,Unlimited,Reality itself; fundamental forces,Concepts; ideas; reality,Universal level,STR/2 (100+ damage),Can affect universal constants,Universe-threatening entity
Material_Strength_Paper,Breakable Material,Strength 1,Paper; tissue; leaves,Destroyed by any significant force,No resistance to any attack,Automatic destruction,0 lbs lifting equivalent,Any character can destroy instantly
Material_Strength_Glass,Breakable Material,Strength 5,Windows; bottles; mirrors,Destroyed by Typical strength,Shatters into dangerous fragments,Creates sharp debris hazard,25 lbs lifting equivalent,Creates hazardous terrain when broken
Material_Strength_Wood,Breakable Material,Strength 15,Wooden doors; furniture; trees,Destroyed by Good strength,Splinters and breaks apart,Creates debris and kindling,100 lbs lifting equivalent,Common construction material
Material_Strength_Drywall,Breakable Material,Strength 20,Interior walls; partitions,Destroyed by Good+ strength,Crumbles and creates dust,Obscures vision temporarily,150 lbs lifting equivalent,Standard interior construction
Material_Strength_Brick,Breakable Material,Strength 30,Brick walls; chimneys,Destroyed by Excellent+ strength,Breaks into chunks,Creates difficult terrain,300 lbs lifting equivalent,Standard exterior construction
Material_Strength_Steel_Frame,Breakable Material,Strength 45,Steel framing; car chassis,Destroyed by Remarkable+ strength,Bends and warps before breaking,Can be repaired if not fully destroyed,600 lbs lifting equivalent,Commercial building construction
Material_Strength_Reinforced_Concrete,Breakable Material,Strength 55,Bunkers; foundations,Destroyed by Incredible+ strength,Cracks and chunks,Creates very difficult terrain,800 lbs lifting equivalent,Military and government construction
Material_Strength_Steel_Wall,Breakable Material,Strength 65,Bank vaults; armored vehicles,Destroyed by Amazing+ strength,Punctures and tears,Heavy metal debris,1200 lbs lifting equivalent,Security and military applications
Material_Strength_Titanium,Breakable Material,Strength 75,Aerospace components; advanced armor,Destroyed by Monstrous+ strength,Exotic failure modes,Rare metal debris has special properties,2000 lbs lifting equivalent,Ultra-tech and aerospace applications
Material_Strength_Vibranium,Breakable Material,Strength 95,Alien technology; ultimate armor,Destroyed by Unearthly+ strength,Absorbs and redirects energy,Energy feedback effects,5000 lbs lifting equivalent,Alien technology applications
Material_Strength_Adamantium,Breakable Material,Strength 110,Nearly indestructible molecular bonds,Destroyed by Shift X+ strength,Molecular bond failure,Reflects energy back at attacker,10000 lbs lifting equivalent,Legendary indestructible material
Lifting_Scale_Normal_Human,Strength Scale,STR 20-49,25-800 lbs lifting capacity,Can lift furniture; appliances; motorcycle,Normal human strength progression,Athletic training and conditioning,Human strength curve
Lifting_Scale_Enhanced_Human,Strength Scale,STR 50-69,1-5 tons lifting capacity,Can lift cars; small trees; construction materials,Enhanced human capabilities,Genetic or chemical enhancement,Low superhuman strength
Lifting_Scale_Superhuman,Strength Scale,STR 70-89,5-25 tons lifting capacity,Can lift trucks; heavy machinery; structural elements,True superhuman strength,Supernatural power manifestation,Moderate superhuman strength
Lifting_Scale_Cosmic_Level,Strength Scale,STR 90-149,25-500 tons lifting capacity,Can lift buildings; geological features; massive structures,Cosmic-level physical power,Reality-affecting power levels,High to supreme superhuman strength
Lifting_Scale_Reality_Affecting,Strength Scale,STR 150+,Unlimited lifting capacity,Can lift conceptual weights; reality itself; universal constants,Universe-affecting capabilities,Ultimate power manifestation,Reality-warping strength levels
Combat_Application_Melee_Damage,Combat Effect,STR bonus added to melee attacks,Melee damage increases with character strength,STR 60 adds +6 damage to all melee attacks,Higher strength makes hand-to-hand combat devastating,Integrates with weapon damage calculations,Strength scaling in combat damage
Combat_Application_Throwing_Range,Combat Effect,STR determines throwing range and object weight limits,Throwing capability scales with strength,STR 80 can throw 4000 lb objects effectively,Strength determines improvised weapon effectiveness,Integrates with Environmental_Objects.csv,Environmental combat scaling
Combat_Application_Knockback_Distance,Combat Effect,STR determines knockback distance inflicted,Knockback distance equals strength rank,STR rank Excellent (40-49) = 5 squares knockback,Strength affects battlefield control,Integrates with Knockback_Mechanics.csv,Environmental interaction through strength
Combat_Application_Grappling,Combat Effect,STR affects grappling and restraint attempts,Grappling success based on relative strength,STR 60 vs STR 40 = significant grappling advantage,Strength determines close-quarters control,Integrates with martial arts skills,Physical control and restraint capabilities
Investigation_Application_Physical,Investigation Effect,STR affects physical investigation tasks,Physical investigation bonuses scale with strength,STR 50+ can investigate scenarios requiring physical capability,Strength opens unique investigation approaches,Integrates with Investigation_Methods.csv,Physical investigation specialization
Investigation_Application_Intimidation,Investigation Effect,STR affects intimidation and presence,High strength provides intimidation bonuses for information gathering,STR 70+ creates significant intimidation presence,Strength affects social investigation dynamics,Integrates with social investigation methods,Physical presence in investigation
Daily_Life_Application_Manual_Labor,Life Effect,STR affects work capacity and income potential,Physical labor jobs pay more with higher strength,STR 60+ qualifies for high-paying physical jobs,Strength affects economic opportunities,Integrates with career system,Physical careers benefit from strength
Daily_Life_Application_Athletics,Life Effect,STR affects sports and physical recreation,Athletic activities and competition success,STR 70+ dominates human athletic competitions,Strength affects recreational activities and social status,Integrates with social systems,Athletic superiority affects reputation
Daily_Life_Application_Emergency_Situations,Life Effect,STR affects capability in emergency situations,Emergency rescue and disaster response capability,STR 80+ can single-handedly rescue multiple people,Strength affects humanitarian opportunities,Integrates with emergency response systems,Physical capability in crisis situations
Power_Integration_Super_Strength,Power Enhancement,Super Strength power multiplies base STR,Super Strength adds power rating to base strength,Base STR 40 + Super Strength Level 2 = effective STR 60,Super Strength power enhances all strength applications,Integrates with LSW_Power_Combat_Mechanics.csv,Power enhancement of physical capabilities
Power_Integration_Physical_Enhancement,Power Enhancement,Physical enhancement powers affect multiple physical stats,Enhancement powers boost STR; STA; CON together,Tech Enhancement adds +5 to STR; STA; CON,Physical enhancement affects overall physical capability,Integrates with power origin systems,Broad physical improvement through powers
Technology_Integration_Strength_Augmentation,Technology Enhancement,Technology can enhance effective strength,Exoskeletons and power armor increase effective strength,Power Armor adds +10 to effective STR for lifting and breaking,Technology extends physical capabilities,Integrates with Technology_Trees_Integrated.csv,Technological strength enhancement
Technology_Integration_Cybernetic_Enhancement,Technology Enhancement,Cybernetic implants can replace or enhance strength,Cybernetic limbs provide enhanced strength ratings,Cybernetic arm provides +15 STR for that limb,Technology can replace lost capabilities or enhance existing,Integrates with augmentation systems,Technological body modification