Building_Type,Ceiling_Height_Feet,Max_Flight_Altitude_Inside,Structural_Obstacles,Flight_Penalties,Ceiling_Breaking_Requirements,Environmental_Consequences,Tactical_Implications
Residential_House,8-10 feet,Altitude 0 (Ground level only),Low ceilings; furniture; stairs,Cannot fly inside; Must use doors,STR 30+ to break through ceiling,Roof damage; debris; family lawsuit,Flight useless; forces ground combat
Apartment_Building,9-12 feet,Altitude 0-1 (Ground to low hover),Multiple floors; hallways; electrical,Severe maneuverability penalties -3CS,STR 40+ to break floor/ceiling,Multi-floor damage; tenant lawsuits; structural instability,Limited flight; mostly ground tactics
Office_Building,12-15 feet,Altitude 1 (Low altitude max),Office furniture; cubicles; drop ceiling,Moderate maneuverability penalties -2CS,STR 35+ to break drop ceiling; STR 60+ for structural ceiling,Office equipment destruction; business disruption; worker injury,Some flight possible but restricted
Warehouse,20-40 feet,Altitude 1-2,Storage racks; hanging equipment; forklifts,Minor maneuverability penalties -1CS,STR 45+ to break through roof,Inventory destruction; structural damage; supply chain disruption,Good flight space; tactical aerial combat possible
Shopping_Mall,25-50 feet,Altitude 2-3,Multiple levels; escalators; kiosks,Flight possible but crowded,STR 50+ to break skylights; STR 70+ for roof,Multiple business damage; shopper casualties; economic impact,Moderate flight; civilian protection critical
Factory,30-80 feet,Altitude 2-4,Heavy machinery; conveyor systems; pipes,Mechanical obstacle penalties -1CS,STR 55+ to break industrial roof,Production shutdown; equipment damage; worker safety,Good aerial combat space with industrial hazards
Airport_Terminal,50-100 feet,Altitude 3-5,Gates; aircraft; luggage systems,Air traffic control penalties,STR 65+ to break terminal roof,Flight disruption; aircraft damage; federal aviation charges,Excellent flight space but federal consequences
Sports_Stadium,100-200 feet,Altitude 5-6,Seating; lighting; scoreboards,Crowd visibility issues,STR 70+ to break stadium roof,Mass spectator danger; event cancellation; massive lawsuits,Maximum flight space but maximum civilian exposure
Aircraft_Hangar,50-150 feet,Altitude 3-6,Aircraft; maintenance equipment,Aircraft collision risk,STR 80+ to break hangar doors/roof,Military aircraft damage; national security; federal charges,Excellent flight combat; extreme consequences if military
Underground_Facility,8-12 feet,No flight possible,Concrete ceiling; support pillars; utilities,Flight impossible,STR 90+ to break reinforced underground ceiling,Underground structural collapse; utility disruption; entrapment risk,No flight advantage; forces ground combat
Skyscraper_Interior,12-15 feet per floor,Altitude 1 per floor,Windows; elevators; office equipment; structural elements,Window breaking for floor-to-floor movement,STR varies by floor (higher floors = stronger construction),Floor-by-floor damage; evacuation; structural instability; federal building codes,Vertical combat through building floors
Cathedral_Church,40-100 feet,Altitude 2-5,Pews; altar; religious artifacts; stained glass,Religious artifact destruction,STR 60+ to break cathedral ceiling,Sacred building destruction; community outrage; hate crime charges,Good flight space but severe cultural consequences
Government_Building_Interior,15-25 feet,Altitude 1-2,Security checkpoints; metal detectors; reinforced construction,Security system integration,STR 75+ to break government building ceiling,Federal property destruction; national security; federal charges,Limited flight; maximum legal consequences
Military_Base_Interior,Variable,Altitude varies,Military equipment; classified materials; security systems,Military response protocols,STR 80+ to break military construction,Classified material exposure; national security; court martial,Flight capability varies; ultimate legal consequences
Hospital_Interior,12-20 feet,Altitude 1,Medical equipment; patient rooms; life support,Patient safety critical,STR 45+ to break hospital ceiling,Medical equipment damage; patient endangerment; medical malpractice,Limited flight; patient safety paramount
School_Interior,10-15 feet,Altitude 0-1,Classrooms; children; educational equipment,Child safety paramount,STR 40+ to break school ceiling,Educational disruption; child endangerment; community outrage,Minimal flight; child protection critical
Prison_Interior,8-12 feet,Altitude 0,Cells; security systems; prisoner population,Maximum security protocols,STR 85+ to break prison security ceiling,Prison break; security breach; federal charges,No flight advantage; maximum security environment
Subway_Underground,8-10 feet,No flight,Trains; electrical systems; tunnels,Electrical hazard; train collision,STR 70+ to break subway ceiling,Transportation disruption; electrical system damage; federal transportation charges,Flight impossible; electrical and collision hazards
Sewer_System,6-8 feet,No flight,Pipes; water flow; confined space,Confined space; contamination,STR 50+ to break sewer ceiling,Utility disruption; water contamination; public health hazard,Flight impossible; contamination risk
Flight_Through_Windows,Window Breaking,Flying through glass windows,Standard windows break with minor force,Flying through window: Take 1d6 cutting damage; Create entry/exit,STR 20+ to guarantee safe passage,Window replacement; trespassing; breaking and entering,Flying through windows creates damage and legal issues
Flight_Through_Walls,Wall Breaking,Flying through structural walls,Wall strength determines breaking requirements,Flying through wall: Take damage equal to wall strength - character strength,Wall-specific STR requirements,Structural damage; trespassing; property destruction,Wall breaking allows tactical movement but with consequences
Flight_Through_Roof,Roof Breaking,Flying through building roofs,Roof construction determines breaking difficulty,Flying through roof: Take structural damage; Create large opening,Roof-specific STR requirements,Weather exposure; structural integrity; massive property damage,Roof breaking creates building access but major consequences
Ceiling_Height_Restriction,Physical Limitation,Ceiling height limits maximum indoor altitude,Physical barriers prevent altitude gain,Maximum indoor altitude = Ceiling_Height / 10 feet,Cannot exceed physical ceiling height,Collision damage if attempting to exceed height,Realistic physical limitations on indoor flight
Structural_Damage_Calculation,Destruction Mechanics,Breaking structural elements affects building integrity,Load-bearing destruction can cause building collapse,Structural damage accumulation: >50% = collapse risk; >75% = imminent collapse,STR sufficient to damage load-bearing elements,Building collapse; mass casualties; ultimate legal consequences,Structural destruction can cause catastrophic building failure
Emergency_Exit_Flying,Emergency Mechanics,Flying characters can exit through roof in emergencies,Emergency escape through building destruction,Emergency roof exit: Double AP cost; Take structural damage; Create large opening for others,Emergency situations allow building destruction,Emergency property destruction; rescue operation legal protection,Emergency flight creates escape routes but with costs
Indoor_Maneuverability,Flight Mechanics,Indoor flight requires precision maneuvering,Confined spaces limit flight effectiveness,Indoor flight: Reduced speed; Collision risk with furniture/equipment; Precision required,Indoor flight possible but challenging,Furniture destruction; equipment damage; precision flying skill required,Indoor flight requires careful control and skill
Outdoor_Flight_Freedom,Flight Mechanics,Outdoor areas allow full flight capability,Open areas provide unrestricted flight,Outdoor flight: Full speed and altitude; Complete maneuverability; Environmental effects only,No structural restrictions outdoors,Weather and environmental effects; air traffic control,Outdoor flight provides full tactical advantage
Multi_Floor_Combat,Vertical Combat,Combat across multiple building floors,Vertical movement through floor/ceiling breaking,Floor-to-floor combat: Break floor = access next level; Take structural damage; Create tactical opportunities,STR requirements vary by construction type,Floor-by-floor property damage; structural instability,Vertical building combat creates unique tactical opportunities
Building_Evacuation_Protocols,Civilian Protection,Flying combat in buildings requires civilian evacuation,Civilian safety becomes paramount in confined spaces,Indoor combat with civilians: Must prioritize evacuation; Civilian casualties = automatic legal consequences,Civilian evacuation affects tactical decisions,Mass civilian casualties; evacuation protocol failures,Indoor combat with civilians creates maximum legal and moral responsibility
Air_Traffic_Integration,Flight Control,Outdoor flight must avoid civilian aircraft,Flight paths must consider civilian air traffic,Commercial airspace: Must avoid civilian aircraft; Military airspace = military response; Emergency landing sites limited,Flight altitude restrictions in controlled airspace,Federal aviation violations; aircraft collision; mass casualty events,Realistic flight considers air traffic control and aviation safety
Weather_Building_Interaction,Environmental Effect,Weather affects indoor vs outdoor flight decisions,Weather drives tactical choice between indoor safety and outdoor mobility,Severe weather: Indoor flight safer; Outdoor flight dangerous; Building provides weather protection,Weather affects building vs outdoor tactical choice,Weather damage; building damage from emergency shelter,Weather creates tactical environment choice