Combat_Type,Simulation_Speed,Detail_Level,Victory_Condition,Result_Generation,Newspaper_Template,Property_Damage_Scale,Civilian_Impact,Legal_Consequences,AI_Generation_Prompt,Combat_Factors
Street_Fight,Quick,Basic,Enemy defeat or retreat,Statistical based on team power vs enemy power,"Local Hero Stops {Crime_Type} in {Location}",Minimal property damage,Low civilian involvement,Minor legal issues,"Generate exciting but grounded street-level superhero encounter report focusing on {Winner} vs {Enemy_Type} in {City}",Team combat rating vs enemy combat rating
Gang_War,Moderate,Detailed,Territory control or gang elimination,Team tactics vs gang resources plus LSW involvement,"LSW Team Confronts {Gang_Name} in Violent {City} Showdown",Moderate property damage with business impacts,Moderate civilian casualties,Potential wrongful death lawsuits,"Generate intense gang warfare report with LSW involvement, focusing on tactics and civilian safety in {City}",Team coordination + individual LSW power levels vs gang numbers + LSW mercenaries
Super_Criminal_Battle,Detailed,Comprehensive,Capture or neutralize super criminal,Individual LSW matchups with power interactions,"Super-Powered Battle Rocks {City} as {Team_Name} Faces {Villain_Name}",Significant property damage,High civilian impact and evacuation,Major lawsuits and insurance claims,"Generate epic superhero vs supervillain battle report emphasizing power displays and collateral damage in {City}",LSW threat levels + power interactions + environmental factors
Military_Operation,Extended,Military,Mission objective completion,Team skills + military support vs enemy military capabilities,"Joint Military-LSW Operation in {Country} Achieves Strategic Victory",Massive infrastructure damage,Potential war crimes,International court proceedings,"Generate military operation report with LSW support emphasizing strategic objectives and international implications",Military coordination + LSW special abilities vs enemy military strength
International_Incident,Complex,Diplomatic,Political resolution or escalation,Faction relationships + LSW power + diplomatic skills,"International Crisis Resolved Through {Faction} LSW Intervention in {Country}",Potential city-wide destruction,International civilian impact,War crimes tribunal possible,"Generate complex international incident report focusing on diplomatic implications and power politics",Faction reputation + LSW threat assessment + international relationships
Alien_Encounter,Cosmic,Reality-Altering,Survival or cosmic victory,Unknown factors + reality manipulation + cosmic powers,"First Contact: LSW Team Encounters Alien Forces in {Location}",Reality-warping environmental effects,Potential species-wide impact,Redefining international law,"Generate first contact encounter report emphasizing the cosmic scale and reality-changing implications",Cosmic LSW powers + alien technology + reality manipulation factors
Combat_Factor_Team_Size,Factor Type,Numerical,1-12 characters,Team size affects combat effectiveness,Larger teams get coordination bonuses but higher friendly fire risk,More property damage with larger teams,More civilian protection with larger teams,More legal responsibility with larger teams,Team size affects narrative scope and complexity,Base factor: +5% effectiveness per additional team member
Combat_Factor_Threat_Level,Factor Type,LSW Classification,Alpha through Level 5,Higher threat levels dramatically affect combat outcome,Cosmic battles get cosmic-scale news coverage,Threat level 4+ causes massive destruction,Higher threats evacuate more civilians,Higher threats face international tribunals,Threat level determines narrative scale and language used,Exponential factor: Threat Level cubed
Combat_Factor_Environment,Factor Type,Location Based,Urban/Rural/Wilderness/Space,Environment affects tactics and collateral damage,Urban battles get more media coverage,Urban areas have highest property damage,Urban areas have highest civilian casualties,Urban battles face most legal scrutiny,Environment affects tone and scope of narrative,Urban +50% damage; Rural -25% damage; Space unlimited
Combat_Factor_Public_Awareness,Factor Type,Visibility Level,Secret to Global Broadcast,How much the public sees affects everything,Secret battles get minimal coverage; Broadcast battles become global events,Public battles cause more property damage claims,Public awareness affects civilian evacuation success,Public battles face maximum legal scrutiny,Public awareness determines narrative style and media response,Secret operations allow creative liberties; Public battles require realistic consequences
Combat_Factor_Faction_Relations,Factor Type,Political,Allied/Neutral/Hostile,International relationships affect combat options,Hostile nations spin battles as invasions,Allied nations minimize damage reports,Allied nations protect civilians better,Allied nations provide legal immunity,Faction relationships affect narrative perspective and international response,Allied nations +25% positive coverage; Hostile nations +50% negative coverage
Combat_Factor_Collateral_Damage,Factor Type,Destruction Scale,Minimal to Reality-Altering,Amount of environmental destruction caused,More destruction gets more dramatic coverage,Direct correlation with property damage,Higher destruction causes more civilian harm,More destruction leads to more lawsuits,Collateral damage affects narrative drama and consequences,Exponential scaling: Each level doubles legal and financial consequences
Power_Interaction_Same_Type,Power Relationship,Power vs Power,Same power type conflict,When similar powers clash in combat,Energy vs Energy creates spectacular light shows,Same-type conflicts cause resonance damage,Power resonance can affect civilian LSWs,Power conflicts may violate LSW treaties,Same-type power conflicts get technical analysis in reports,Powers cancel or amplify each other based on threat level difference
Power_Interaction_Opposite_Type,Power Relationship,Power vs Power,Opposing power types,Fire vs Ice; Time vs Reality; Mind vs Technology,"Power opposites create dramatic conflict narratives",Opposing powers can neutralize environmental damage,Civilians caught between opposing forces suffer unique effects,Power opposition may trigger scientific investigation,Opposing power narratives focus on fundamental conflict themes,Complete nullification or explosive interaction possible
Power_Interaction_Complementary,Power Relationship,Power vs Power,Synergistic power combination,Powers that work together for enhanced effects,Team combinations get praised for coordination,Complementary powers minimize collateral damage,Coordinated powers can protect civilians more effectively,Good coordination reduces legal liability,Complementary power narratives emphasize teamwork and strategy,Combined effectiveness can exceed sum of individual powers
Victory_Decisive,Victory Type,Clear Win,Enemy completely defeated or captured,Overwhelming victory with minimal losses,"{Team_Name} Achieves Decisive Victory Against {Enemy} in {Location}",Property damage contained,Civilians well-protected,Minimal legal consequences,Decisive victory narratives emphasize competence and heroism,Winner gets maximum reputation bonus
Victory_Pyrrhic,Victory Type,Costly Win,Victory achieved but at high cost,Technical victory but with significant losses or damage,"{Team_Name} Wins Costly Battle Against {Enemy}; {Location} Suffers Heavy Damage",Extensive property destruction,Significant civilian casualties,Major legal and financial liability,Pyrrhic victory narratives question the cost of victory,Winner gets reputation penalty despite victory
Victory_Tactical,Victory Type,Objective Win,Mission objective achieved regardless of battle outcome,Completed mission goals even if battle was lost,"{Team_Name} Achieves Mission Objectives Despite {Complications} in {Location}",Variable property damage,Mission-dependent civilian impact,Context-dependent legal issues,Tactical victory narratives focus on strategy over raw power,Mission success bonus regardless of battle casualties
Defeat_Tactical,Defeat Type,Mission Failure,Failed to achieve objectives but survived,Mission failed but team escaped,"{Team_Name} Forced to Retreat After Failed {Mission_Type} in {Location}",Minimal additional property damage,Protected civilians during retreat,Failure to prevent legal violations by enemies,Tactical defeat narratives emphasize learning and regrouping,Reputation loss but experience gained
Defeat_Strategic,Defeat Type,Major Loss,Significant losses affecting long-term capabilities,Lost team members or critical resources,"{Enemy} Defeats {Team_Name} in Devastating {Location} Battle",Enemy-caused property destruction,Civilian casualties from enemy actions,Enemy faces legal consequences; Team faces failure liability,Strategic defeat narratives emphasize consequences and recovery,Major reputation loss and resource penalties
Draw_Stalemate,Draw Type,No Resolution,Neither side achieved decisive victory,Inconclusive result requiring future resolution,"{Team_Name} and {Enemy} Battle to Stalemate in {Location}",Mutual property destruction,Civilians affected by prolonged conflict,Shared legal responsibility,Stalemate narratives emphasize unfinished business and future conflict,No reputation change; sets up future encounters