Activity_ID,Activity_Name,Activity_Type,Duration_Hours,Success_Requirements,Potential_Outcomes,Trigger_Events,Country_Benefits,Faction_Restrictions,Character_Requirements,Resource_Costs,Experience_Gained,Status_Effects_Applied,Equipment_Effects,Investigation_Opportunities
ACT_001,Personal Life,Lifestyle,8,None,Stress relief; Relationship building; Secret identity maintenance,Random personal events,Better lifestyle countries provide more benefits,None,Secret identity,Living expenses,Social skill experience,Stress reduction,None,Can discover civilian problems
ACT_002,Training,Physical,4,Relevant skill,Skill improvement; Physical conditioning; Combat readiness,Training accidents possible,Advanced training facilities improve results,Military factions get training bonuses,Physical capability,Training facility access,Combat skill experience,Temporary fatigue,Enhanced equipment proficiency,Can meet other trainees
ACT_003,Research,Academic,6,Research skill,Knowledge advancement; Technology development; Power understanding,Breakthrough discoveries possible,High education countries speed research,Science-focused factions get bonuses,Education level 2+,Library/lab access,Academic skill experience,Mental fatigue,Research equipment,Can discover academic conspiracies
ACT_004,Patrol,Security,8,None,Crime prevention; Reputation building; Intelligence gathering,Random crime encounters; Villain sightings,High crime cities provide more opportunities,Law enforcement cooperation varies,Combat capability recommended,None,Investigation experience,Minor injury risk,Equipment wear,Can discover ongoing crimes
ACT_005,Medical Treatment,Recovery,Variable,None,Healing; Status effect recovery; Medical examination,Medical discoveries; Hospital politics,Better healthcare systems heal faster,Medical professionals get treatment bonuses,Injured or ill,Medical insurance or payment,Medical knowledge,Recovery from negative effects,Medical equipment,Can discover medical conspiracies
ACT_006,Engineering Work,Technical,6,Engineering skill,Equipment creation; Facility improvement; Technology advancement,Equipment failures; Industrial accidents,Advanced manufacturing countries provide better results,Tech-focused factions get bonuses,Engineering expertise,Workshop access and materials,Technical skill experience,Temporary exhaustion,Created or modified equipment,Can discover industrial sabotage
ACT_007,Covert Operations,Mission,Variable,Stealth and combat skills,Intelligence gathering; Enemy disruption; Asset recruitment,Mission complications; Identity exposure,Countries with intelligence services provide support,All factions can use but risk political consequences,Combat and stealth capability,Mission-specific resources,Combat and stealth experience,Mission stress,Specialized equipment,Mission-generated investigations
ACT_008,Diplomatic Work,Political,6,Diplomacy skill,International cooperation; Political influence; Treaty negotiation,Diplomatic incidents; International crises,Countries with stable governments provide more opportunities,Diplomatic immunity varies by faction,Political authority or charisma,Diplomatic credentials,Diplomatic skill experience,Political pressure,Formal diplomatic equipment,Can discover political conspiracies
ACT_009,Military Service,Combat,8,Military skill,Combat training; Strategic knowledge; Military contacts,Military conflicts; War deployment,Countries at war provide more intensive training,Military cooperation varies by faction,Military clearance,Military pay,Military skill experience,Combat fatigue,Military equipment access,Can discover military corruption
ACT_010,Off the Grid,Survival,24,Survival skill,Hidden from enemies; Stress recovery; Independence,Random wilderness encounters; Discovery by enemies,Remote countries provide better hiding opportunities,All factions lose contact temporarily,Self-sufficiency,Survival equipment,Survival skill experience,Isolation stress,Basic survival gear,Can discover hidden threats
ACT_011,Corporate Work,Business,8,Business skill,Financial resources; Corporate contacts; Market influence,Corporate politics; Economic warfare,Strong economy countries provide better opportunities,Business relationships vary by faction ideology,Business credentials,Professional equipment,Business skill experience,Corporate pressure,Business equipment access,Can discover corporate conspiracies
ACT_012,Academic Teaching,Education,6,Teaching skill,Knowledge sharing; Student recruitment; Academic reputation,Academic politics; Student radicalization,Countries with good education systems provide more opportunities,Academic freedom varies by government type,Advanced education,Academic credentials,Teaching skill experience,Academic stress,Academic equipment,Can discover educational conspiracies
ACT_013,Religious Service,Spiritual,4,Religion skill,Spiritual guidance; Community support; Religious authority,Religious conflicts; Extremist recruitment,Religious freedom affects opportunities,Religious tolerance varies by faction,Religious authority,Religious materials,Religious skill experience,Spiritual fulfillment,Religious artifacts,Can discover religious conspiracies
ACT_014,Criminal Activity,Illegal,Variable,Criminal skills,Illegal resources; Underground contacts; Black market access,Legal consequences; Criminal war,High crime countries provide more opportunities,Law enforcement opposition varies,Criminal connections,Criminal tools,Criminal skill experience,Legal risk,Black market equipment,Can discover criminal organizations
ACT_015,Scientific Research,Academic,8,Science skill,Scientific advancement; Technology development; Discovery,Scientific breakthroughs; Research accidents,Advanced science countries provide better facilities,Science funding varies by faction priorities,Scientific education,Research facility access,Science skill experience,Research fatigue,Scientific equipment,Can discover scientific conspiracies
ACT_016,Artistic Pursuits,Creative,4,Art skill,Cultural influence; Social connections; Cover identity,Artistic recognition; Cultural movements,Countries with artistic freedom provide more opportunities,Artistic expression tolerance varies,Artistic talent,Art supplies,Art skill experience,Creative fulfillment,Art equipment,Can discover cultural manipulation
ACT_017,Psychological Work,Mental,6,Psychology skill,Mental health support; Behavioral analysis; Therapeutic intervention,Psychological breakthroughs; Patient crises,Mental health infrastructure affects opportunities,Mental health priorities vary by faction,Psychology credentials,Therapy office,Psychology skill experience,Emotional burden,Psychological tools,Can discover psychological warfare
ACT_018,Technology Development,Innovation,8,Multiple tech skills,Technological breakthrough; Patent development; Innovation,Technology theft; Corporate espionage,Tech-advanced countries provide better resources,Technology sharing varies by faction,Advanced technical education,Advanced laboratory,Multiple technical skills,Innovation stress,Prototype equipment,Can discover technology theft
ACT_019,Investigation Work,Detective,Variable,Investigation skills,Case resolution; Criminal capture; Evidence gathering,Investigation complications; Witness intimidation,Law enforcement cooperation varies by country,Justice system cooperation varies by faction,Investigation authority,Investigation equipment,Investigation skill experience,Case stress,Investigation tools,Can discover larger conspiracies
ACT_020,Recruitment Activity,Organizational,6,Leadership skill,New team members; Expanded capabilities; Organizational growth,Recruitment competition; Candidate rejection,Population and education affect candidate quality,Recruitment success varies by faction reputation,Leadership authority,Recruitment budget,Leadership skill experience,Organizational responsibility,Communication equipment,Can discover recruitment interference
ACT_021,Media Relations,Public,4,Performance skill,Public support; Media coverage; Reputation management,Media scandals; Public backlash,Press freedom affects media cooperation,Media treatment varies by faction,Public recognition,Media equipment,Performance skill experience,Public pressure,Media production tools,Can discover media manipulation
ACT_022,Family Time,Personal,6,None,Emotional stability; Personal relationships; Secret identity protection,Family crises; Identity exposure,Family-friendly countries provide stability,Family safety varies by faction enemies,Family connections,Personal resources,Emotional intelligence,Emotional fulfillment,None,Can discover family threats
ACT_023,Vehicle Maintenance,Technical,3,Mechanical skill,Vehicle reliability; Performance enhancement; Cost savings,Vehicle breakdowns; Mechanical failures,Advanced manufacturing countries provide better parts,Vehicle technology varies by faction,Vehicle ownership,Repair tools and parts,Mechanical skill experience,Technical satisfaction,Maintained vehicles,Can discover vehicle sabotage
ACT_024,Facility Management,Administrative,4,Management skill,Base security; Operational efficiency; Resource optimization,Security breaches; Operational failures,Infrastructure quality affects management efficiency,Security cooperation varies by government,Administrative authority,Management tools,Management skill experience,Administrative burden,Facility equipment,Can discover facility infiltration
ACT_025,Intelligence Analysis,Analytical,6,Intelligence skill,Pattern recognition; Threat assessment; Strategic insight,Intelligence failures; False information,Intelligence infrastructure affects analysis quality,Intelligence sharing varies by faction,Intelligence clearance,Analysis equipment,Intelligence skill experience,Analysis stress,Intelligence tools,Can discover disinformation campaigns
ACT_026,Combat Training,Military,4,Combat skills,Combat effectiveness; Team coordination; Tactical knowledge,Training injuries; Equipment damage,Military tradition affects training quality,Military cooperation varies by faction,Combat experience,Training facility,Combat skill experience,Training fatigue,Training weapons,Can discover training sabotage
ACT_027,Equipment Repair,Technical,3,Engineering skill,Equipment restoration; Performance optimization; Cost savings,Repair failures; Equipment upgrades,Industrial capacity affects repair quality,Technology access varies by faction,Technical expertise,Repair workshop,Technical skill experience,Technical focus,Repaired equipment,Can discover equipment tampering
ACT_028,Social Networking,Social,4,Social skills,Social contacts; Information gathering; Reputation building,Social scandals; Reputation damage,Social infrastructure affects networking opportunities,Social acceptance varies by faction,Social capability,Social venues,Social skill experience,Social energy,Social connections,Can discover social manipulation
ACT_029,Physical Recovery,Medical,Variable,None,Injury healing; Stamina restoration; Health optimization,Medical complications; Recovery setbacks,Healthcare quality affects recovery speed,Medical care access varies by faction,Injured condition,Medical insurance,None,Recovery progress,None,Can discover medical malpractice
ACT_030,Mental Recovery,Psychological,Variable,None,Stress reduction; Trauma healing; Mental clarity,Psychological complications; Mental health crises,Mental health infrastructure affects recovery,Mental health priorities vary by faction,Mental health issues,Therapy access,Psychological skill experience,Mental healing,None,Can discover psychological manipulation