Combat_Example_ID,Scenario_Setup,Turn_By_Turn_Description,Critical_Hit_Details,Injury_Results,Property_Damage,Legal_Consequences,Tactical_Lessons
EXAMPLE_001,Thunder Wing (Level 2 Flight + Rifle) vs Ground Hammer (Level 2 Super Strength + Shotgun) - Urban Street,"Turn 1: Thunder Wing wins initiative (AGL 55 + Flight bonus). Action: Takeoff to Altitude 2 (30 feet). Ground Hammer moves behind car for cover. Turn 2: Thunder Wing shoots rifle from altitude (-1CS for height). Rolls Major Success (Yellow) - hits for 22 damage. Ground Hammer throws car at Thunder Wing (STR 60 vs 2800lb car). Rolls Critical Success (Red) - car travels 4 squares, hits Thunder Wing for 70 damage! Turn 3: Thunder Wing critically injured, attempts emergency landing. Ground Hammer charges for finishing blow.",Thunder Wing takes car impact: Rolls on Critical Hit table - Broken Ribs (1d6 Stamina drain + carrying capacity halved),Thunder Wing: 22 rifle damage taken; Ground Hammer: 70 car impact damage + Broken Ribs status,Car destruction ($25000); Window damage from gunfire ($5000); Street cleanup ($2000),Grand Theft Auto (car theft); Property destruction; Reckless endangerment,Flight advantage negated by environmental object throwing; Altitude vulnerable to heavy thrown objects
EXAMPLE_002,Sky Blade (Level 1 Flight + Sword) vs Street Fighter (Level 1 Martial Arts + No powers) - Warehouse Interior,"Turn 1: Sky Blade wins initiative. Attempts flight but warehouse ceiling limits to Altitude 1 (10 feet max). Street Fighter moves for grappling range. Turn 2: Sky Blade attacks from low hover with sword. Rolls Minor Success (Green) - 18 damage. Street Fighter leaps and grapples Sky Blade mid-air! Grapple succeeds. Turn 3: Both crash to ground. Sky Blade takes falling damage. Street Fighter maintains grapple. Turn 4: Ground grappling combat. Street Fighter rolls Critical Success - chokehold knockout.",Sky Blade falling damage: 1d6 from 10 feet = 4 damage. Street Fighter grapple critical: Chokehold causes unconscious status,Sky Blade: 18 sword damage + 4 falling + unconscious; Street Fighter: Minor grappling strain,Warehouse equipment damage from crash ($8000); Floor damage from impact ($3000),Trespassing; Property destruction; Assault,Indoor flight severely limited; Grappling can bring fliers down; Falling damage affects aerial fighters
EXAMPLE_003,Storm Rider (Level 3 Flight + Lightning) vs Tank (Level 3 Super Durability + Heavy Weapons) - Open Field,"Turn 1: Storm Rider wins initiative. Flies to Altitude 4 (150 feet). Tank deploys heavy machine gun. Turn 2: Storm Rider lightning strike from altitude. Rolls Major Success + altitude bonus - 45 electrical damage. Tank heavy weapons anti-air. Rolls Major Success - 52 damage hits Storm Rider! Turn 3: Storm Rider maintains altitude, second lightning attack. Tank continues suppressive fire. Turn 4: Storm Rider attempts dive attack for close lightning. Tank readies for close-range heavy weapons.",Tank takes lightning: Electrical damage bypasses physical armor but Tank's durability reduces to 30 damage. Storm Rider takes heavy weapons: Armor-piercing rounds + Major Success = 52 damage through energy shields,Storm Rider: 52 heavy weapons damage (energy shields ineffective vs physical rounds); Tank: 30 electrical damage (durability effective vs energy),Minimal (open field); Some ground scarring from lightning ($500),None (open field combat),Electrical attacks bypass physical armor; Anti-aircraft weapons effective vs altitude; Altitude vulnerable to specialized weapons
EXAMPLE_004,Bone Crusher (Level 2 Super Strength) vs Speed Demon (Level 2 Super Speed) - Urban Alley,"Turn 1: Speed Demon wins initiative (AGL 60 + Speed bonus). Multiple attacks: Punch combo. First punch Major Success 28 damage. Second punch Critical Success - rolls on Crit table: ARM BLOW (main weapon arm suffers -1CS until healed). Bone Crusher retaliates with super strength punch. Turn 2: Bone Crusher (injured arm) swings with off-hand at -2CS penalty. Speed Demon dodges easily. Speed Demon continues combo attacks targeting legs. Turn 3: Speed Demon leg attack rolls Critical Success: HAMSTRING (1d6 Dex damage + movement speed reduced to 10 until recovery). Bone Crusher now severely mobility impaired.",Speed Demon's critical hits: ARM BLOW affects Bone Crusher's main fighting arm (-1CS penalty). HAMSTRING attack causes 1d6 Dex damage + movement reduction,Bone Crusher: 28 punch damage + ARM BLOW (-1CS weapon arm) + HAMSTRING (Dex damage + movement 10'); Speed Demon: minimal damage,Alley dumpster knocked over ($200); Brick wall cracked from super strength miss ($1500),Assault charges; Property damage,Speed allows multiple attacks vs strength; Targeting specific body parts creates lasting injuries; Mobility damage especially effective vs slow fighters
EXAMPLE_005,Iron Guardian (Level 4 Tech Enhancement + Power Armor) vs Psychic Storm (Level 4 Psychic Powers) - Government Building Interior,"Turn 1: Psychic Storm wins initiative (mental speed). Psychic Blast attack bypasses all physical armor! Rolls Critical Success: TEMPORARY AMNESIA (confused for 1d6 rounds). Iron Guardian confused, attacks random direction. Turn 2: Iron Guardian (confused) accidentally punches government wall. STR 70 vs reinforced concrete - wall breaks! Creates opening. Psychic Storm mind control attempt. Turn 3: Mind control fails (Iron Guardian's tech provides mental shielding). Iron Guardian recovers from confusion, targets Psychic Storm with heavy weapons. Turn 4: Heavy weapons vs unarmored psychic. Major Success - devastating damage.",Iron Guardian confusion causes random action hitting government wall. Psychic Storm's psychic blast causes TEMPORARY AMNESIA critical hit,Iron Guardian: Temporary Amnesia (confusion); Psychic Storm: Heavy weapons damage (45 damage to unarmored target),Government wall destruction ($25000); Security system damage ($15000); Classified area exposure,Federal property destruction; Security breach; Potential treason charges,Psychic powers bypass tech armor; Confusion can cause friendly fire; Tech provides some mental protection; Government building damage = federal charges
EXAMPLE_006,Flame Thrower (Level 2 Fire Powers) vs Ice Queen (Level 2 Ice Powers) - Chemical Plant,"Turn 1: Flame Thrower wins initiative. Fire blast attack. Ice Queen counters with ice wall defense. Powers interact: Fire vs Ice creates steam cloud (visibility penalty). Turn 2: Steam cloud affects both fighters (-2CS to sight-based actions). Ice Queen ice projectiles. Flame Thrower dodges but fire blast hits chemical storage tank! Turn 3: Chemical tank explosion! Both fighters take explosion damage + chemical contamination. Area becomes hazardous (poison gas). Turn 4: Both fighters must evacuate due to toxic environment. Combat ends in draw due to environmental hazard.",Chemical tank explosion affects both characters: Explosion damage 3d6 each + Poison status (chemical contamination). Environmental hazard forces combat evacuation,Flame Thrower: Chemical explosion + poison status; Ice Queen: Chemical explosion + poison status,Chemical plant explosion ($500K); Environmental contamination ($2M cleanup); Chemical storage destruction,Environmental terrorism charges; EPA violations; Mass evacuation; Superfund cleanup site,Opposing powers create unique interactions; Environmental hazards can end combat; Chemical storage creates extreme consequences; Power interactions affect visibility and tactics
Critical_Hit_Arm_Breaking,Body Part Damage,Targeting specific body parts for lasting injury,Critical hits can target specific limbs for tactical advantage,"ARM BLOW: Main weapon arm suffers -1CS until healed; DEAD ARM: Weapon arm cannot be used until healed",Arm injuries create lasting combat penalties,Medical treatment required; Possible permanent disability,Assault causing permanent injury; Aggravated assault charges
Critical_Hit_Leg_Breaking,Body Part Damage,Leg injuries affect movement and combat mobility,Critical hits can cripple enemy movement capability,"HAMSTRING: 1d6 Dex damage + movement speed reduced; LEG WOUND: 1d3 STR damage + movement reduced; KNEECAP: 1d2 AGI damage + movement reduced",Leg injuries severely affect tactical mobility,Extended medical treatment; Physical therapy; Mobility aids,Assault causing permanent disability; Enhanced assault charges
Critical_Hit_Head_Trauma,Body Part Damage,Head injuries affect mental capabilities and consciousness,Head trauma can incapacitate or reduce mental function,"HEAD BLOW: Stunned for 1 round; MAJOR CONCUSSION: Stunned 1d4 rounds + 1d6 INT damage; HEAD TRAUMA: 1d6 INT + 1d6 INS damage + unconscious",Head injuries affect mental stats and consciousness,Brain surgery; Neurological treatment; Cognitive rehabilitation,Assault with intent to cause brain damage; Attempted murder
Critical_Hit_Organ_Damage,Body Part Damage,Internal organ damage creates life-threatening injuries,Critical hits can cause internal bleeding and organ failure,"ORGAN DAMAGE: 1d2 CON damage + 1d6 bleed; STOMACH RUPTURE: 1d6 bleed + 1d2 CON bleed + nauseated; PUNCTURED LUNG: 1d6 CON damage + drowning",Organ damage threatens life and requires immediate medical attention,Emergency surgery; Intensive care; Organ transplant possible,Assault with deadly weapon; Attempted murder; Aggravated assault
Medical_Treatment_Broken_Bones,Injury Recovery,Broken bones require medical treatment and healing time,Bone injuries need specific treatment and rehabilitation,Broken arm: 4-8 weeks healing + medical costs $5K-$25K + physical therapy,Broken bones create lasting disadvantages until healed,Orthopedic surgery; Casting; Physical rehabilitation,Medical costs become legal damages in lawsuits
Medical_Treatment_Head_Trauma,Injury Recovery,Head injuries require neurological treatment,Brain trauma needs specialized medical intervention,Concussion: 2-12 weeks recovery + neurological monitoring $10K-$100K + cognitive therapy,Head trauma affects mental capabilities long-term,Neurosurgery; Brain imaging; Cognitive rehabilitation,Neurological damage creates permanent disability claims
Medical_Treatment_Organ_Damage,Injury Recovery,Organ damage requires emergency surgery,Life-threatening injuries need immediate surgical intervention,Organ damage: Emergency surgery $50K-$500K + ICU stay + recovery 2-6 months,Organ damage can cause permanent disability or death,Emergency surgery; Organ transplant; Intensive care,Life-threatening injury creates attempted murder charges
Hospital_Stay_Duration,Medical System,Different injuries require different treatment lengths,Injury severity determines hospital time and costs,Broken bone: 1-3 days; Head trauma: 3-14 days; Organ damage: 7-90 days,Hospital stays remove characters from action,Medical costs; Lost income; Family stress,Extended injuries affect mission availability
Disability_Permanent_Effects,Long-Term Consequences,Some injuries cause permanent character modifications,Severe injuries can permanently reduce character capabilities,Lost limb: Permanent stat reduction; Brain damage: Permanent mental stat loss,Permanent injuries affect character sheet permanently,Disability accommodation; Assistive technology; Career limitations,Permanent disability affects legal damages and career opportunities
Combat_Realism_Pain_Penalties,Injury Effects,Injured characters fight less effectively,Injuries create ongoing combat penalties until healed,Broken ribs: -1CS physical actions + pain penalties; Concussion: -2CS mental actions + confusion,Injuries accumulate penalties during extended combat,Pain management; Medical monitoring; Performance reduction,Realistic injury effects create tactical combat consequences
Medical_Insurance_Combat,Healthcare System,Combat injuries affect insurance coverage and costs,LSW-related injuries face insurance complications,Combat injury: Insurance may deny coverage; LSW exclusions common; Medical costs become personal/faction responsibility,Combat medical costs create economic consequences,Medical debt; Insurance disputes; Healthcare access,LSW medical care creates economic and legal complications