Simulation_ID,Scenario_Name,Character_A,Character_B,Environment,Simulation_Count,A_Win_Rate,B_Win_Rate,Key_Tactical_Findings,Balance_Issues_Identified,Recommended_Adjustments
SIM_001,Flying Sniper vs Ground Melee,Level 2 Flight + Rifle,Level 2 Super Strength + Melee,Urban Street,1000,89.3%,10.7%,Flier dominates by staying at altitude 4-5; Ground fighter cannot reach,Flight provides excessive advantage vs non-ranged,Add altitude fatigue; Reduce high-altitude accuracy bonus
SIM_002,Flying Shooter vs Ground Shooter,Level 2 Flight + Rifle,Level 2 No Flight + Rifle,Open Field,1000,76.2%,23.8%,Flier gets height advantage; Ground fighter relies on cover and superior accuracy,Flight advantage balanced by cover availability,Working as intended - environment affects balance
SIM_003,Flying Escape Attempt,Level 1 Flight + Tactical,Level 3 Super Speed + No Flight,Urban Street,1000,67.4%,32.6%,Flier attempts escape to altitude; Speedster tries to catch before takeoff,Speed can catch flight during takeoff vulnerability,Add takeoff vulnerability window
SIM_004,Aerial Dogfight,Level 2 Flight + Energy Projection,Level 2 Flight + Psychic Powers,Open Sky,1000,52.1%,47.9%,Pure aerial combat well-balanced; Energy vs Psychic creates tactical variety,Aerial combat balance good,No adjustment needed
SIM_005,Anti-Air Ground Defense,Level 2 No Flight + Heavy Weapons,Level 2 Flight + Light Weapons,Military Base,1000,71.8%,28.2%,Anti-aircraft weapons effective; Flier forced to low altitude for engagement,Heavy weapons provide good anti-air capability,Add specialized anti-air ammunition
SIM_006,Urban Canyon Combat,Level 3 Flight + Rifle,Level 2 No Flight + Sniper,Urban High-Rise,1000,58.9%,41.1%,Buildings limit flight advantage; Sniper uses vertical cover effectively,Urban environment balances flight vs ground,Urban environments working correctly
SIM_007,Altitude Bombing,Level 3 Flight + Grenades,Level 2 No Flight + Rifle,Open Field,1000,94.7%,5.3%,Flier drops explosives from safe altitude; Ground fighter helpless,Aerial bombardment too powerful,Limit grenade effectiveness at high altitude
SIM_008,Indoor Combat,Level 2 Flight + Pistol,Level 2 No Flight + Shotgun,Warehouse Interior,1000,31.2%,68.8%,Indoor combat eliminates flight advantage; Shotgun dominates close quarters,Indoor environments properly negate flight,Working as intended - environment tactical choice
SIM_009,Weather Combat,Level 2 Flight + Energy,Level 2 No Flight + Tech,Urban Street (Storm),1000,43.7%,56.3%,Storm weather severely penalizes flight; Ground fighter gains advantage,Weather effects working correctly,No adjustment needed
SIM_010,Team Air Support,2× Level 1 Flight + Rifles,1× Level 3 Super Strength,Open Field,1000,78.4%,21.6%,Coordinated aerial team dominates single ground target,Team flight coordination very powerful,Add team coordination costs and risks
Character_Sheet_Example,Thunder Strike,Level 2 Enhanced Human,Primary Power: Flight + Energy Projection,MEL:45 AGL:55 STR:40 STA:50 INT:35 INS:40 CON:45,Career: Military Rank 2; Education: 3; Skills: Pilot+Engineering+Shooting,Investigation specialty: Aerial surveillance; Equipment: Combat Armor + Energy Rifle,Complete character profile demonstration
Combat_Narrative_Flying_Domination,Simulation SIM_001 Sample,Flying Sniper completely dominates ground melee fighter,"Thunder Strike ascends to 200 feet altitude, far above Shadow Blade's reach. With tactical precision, Thunder Strike systematically targets the ground-bound fighter with rifle fire. Shadow Blade attempts to find cover behind buildings but cannot counter-attack at such range. The engagement becomes a methodical elimination as Thunder Strike maintains altitude advantage throughout the 12-minute encounter. Property damage minimal due to precision shooting. Legal consequences: None - clean tactical victory.",Aerial supremacy demonstration,Flight provides overwhelming tactical advantage when unopposed
Combat_Narrative_Anti_Air_Defense,Simulation SIM_005 Sample,Ground heavy weapons successfully counter aerial threat,"Colonel Martinez deploys anti-aircraft weaponry as Sky Ranger attempts aerial assault on the military installation. The .50 caliber machine gun forces Sky Ranger to maintain low altitude for effective engagement. At 50 feet altitude, Sky Ranger becomes vulnerable to sustained heavy weapons fire. The engagement ends when concentrated anti-aircraft fire damages Sky Ranger's flight systems, forcing emergency landing. Military base security successfully repels aerial incursion.",Anti-air capability demonstration,Heavy weapons provide effective air defense
Combat_Narrative_Urban_Canyon,Simulation SIM_006 Sample,Urban environment balances aerial vs ground combat,"Falcon dives between skyscrapers, using building cover to avoid Crosshair's sniper fire. The urban canyon environment prevents Falcon from gaining maximum altitude advantage while providing Crosshair with elevated shooting positions. Falcon uses hit-and-run tactics, darting between buildings while Crosshair repositions across rooftops. The 18-minute engagement showcases tactical adaptation as both fighters use vertical urban terrain. Final victory achieved through superior positioning rather than raw power.",Urban tactical balance demonstration,Building environments create balanced flight vs ground dynamics
Combat_Narrative_Weather_Disadvantage,Simulation SIM_009 Sample,Storm conditions negate flight advantage,"Hurricane-force winds batter the city as Storm Wing attempts to maintain aerial superiority against Tech Soldier. 80 mph winds and driving rain force Storm Wing to ground level, negating flight advantage. Tech Soldier's advanced targeting systems excel in adverse conditions while Storm Wing struggles with weather-compromised maneuverability. The 25-minute battle demonstrates how environmental conditions can reverse expected tactical advantages.",Weather effect demonstration,Environmental conditions significantly affect power effectiveness
Flying_Advantage_Altitude_Scaling,Tactical Analysis,Flight advantage increases with altitude capability,Higher altitude = greater advantage but more environmental vulnerability,Altitude 1-2: Minor advantage; Altitude 3-4: Significant advantage; Altitude 5+: Overwhelming advantage vs non-fliers,Flight system working correctly,Altitude provides meaningful tactical choice
Flying_Disadvantage_Indoor,Tactical Analysis,Indoor environments negate flight advantage,Confined spaces eliminate flight mobility benefits,Indoor combat: Flight provides no advantage; May actually be disadvantageous due to space constraints,Environmental balance working,Indoor environments tactical choice against fliers
Flying_Disadvantage_Weather,Tactical Analysis,Weather conditions can eliminate flight advantage,Storms; high winds; and severe weather ground fliers,Severe weather reduces flight effectiveness by 50-90%,Weather system provides tactical variety,Environmental conditions create strategic timing considerations
Anti_Air_Effectiveness,Tactical Analysis,Heavy weapons and specialized equipment counter flight,Anti-aircraft systems and heavy weapons provide ground-based air defense,Heavy weapons get +3CS vs flying targets; Specialized anti-air gets +5CS,Anti-air systems working correctly,Ground fighters have viable anti-air options
Team_Coordination_Air_Ground,Tactical Analysis,Mixed teams with air and ground elements show tactical synergy,Air support enhances ground operations; Ground support provides air cover,Air-ground teams get +2CS coordination bonus,Team composition creates tactical variety,Mixed teams more effective than single-type teams
Flight_Combat_Balance_Issue_001,Balance Problem,Pure aerial bombardment too powerful,Flying + explosives from safe altitude nearly unbeatable,Aerial bombardment shows 94.7% win rate - too high,BALANCE_ISSUE,Reduce explosive effectiveness at high altitude; Add altitude limitations for area weapons
Flight_Combat_Balance_Issue_002,Balance Problem,Flight escape too easy,Flying characters can disengage from unfavorable combat too easily,Flight escape success rate 89% - too high for tactical balance,BALANCE_ISSUE,Add takeoff vulnerability window; Increase initiative cost for emergency takeoff
Flight_Combat_Balance_Issue_003,Balance Problem,Team flight coordination overwhelming,Multiple fliers provide excessive team advantage,Coordinated aerial teams win 78.4% vs superior individual ground fighter,BALANCE_ISSUE,Add team flight coordination costs; Increase friendly fire risk in formation
Flight_Combat_Working_Correctly_001,Tactical Success,Indoor combat negates flight,Flight provides no advantage in confined spaces,Indoor flight effectiveness 31% vs ground fighters - balanced,WORKING_CORRECTLY,Indoor environments successfully counter flight advantage
Flight_Combat_Working_Correctly_002,Tactical Success,Weather affects flight performance,Environmental conditions create tactical timing considerations,Storm conditions reduce flight effectiveness to 43% - balanced,WORKING_CORRECTLY,Weather creates meaningful tactical environmental choice
Flight_Combat_Working_Correctly_003,Tactical Success,Urban environments balance flight vs ground,Buildings and vertical terrain create balanced engagement options,Urban flight vs ground shows 58% vs 41% - well balanced,WORKING_CORRECTLY,Urban terrain creates interesting tactical variety
Recommended_Flight_Adjustments,System Improvement,Modifications to balance flight combat,Based on simulation results flight system needs refinement,Flight needs altitude fatigue; takeoff vulnerability; formation costs,ADJUSTMENT_REQUIRED,Implement flight limitations to maintain tactical balance
Flight_Altitude_Fatigue,New Mechanic,Extended high altitude flight causes fatigue,Characters cannot maintain maximum altitude indefinitely,High altitude (4+) costs 1 Stamina per turn; Extreme altitude (6+) costs 2 Stamina per turn,RECOMMENDED_ADDITION,Prevents indefinite aerial superiority
Flight_Takeoff_Vulnerability,New Mechanic,Taking off and landing create vulnerability windows,Flight transition moments expose characters to attack,Taking off or landing: -2CS defense for 1 turn; Emergency takeoff costs double AP,RECOMMENDED_ADDITION,Creates tactical timing for anti-air engagement
Flight_Formation_Costs,New Mechanic,Multiple fliers require coordination to maintain formation,Team flight requires leadership and communication,Formation flying requires Leadership skill; Formation breaks if leader injured; Broken formation = collision risk,RECOMMENDED_ADDITION,Balances team flight advantages with coordination requirements
Ammunition_Integration_Flight,Integration Point,Ammunition weight affects flight performance,Carrying heavy ammunition reduces flight efficiency,Heavy ammunition (>50 lbs) reduces flight speed and maneuverability by 20%,INTEGRATION_REQUIRED,Ammunition weight creates tactical choice for fliers
Ground_Anti_Air_Tactics,Tactical Counter,Ground fighters develop anti-air specialization,Heavy weapons and specialized equipment provide air defense capability,Anti-air specialization: +3CS vs flying targets; -1CS vs ground targets,TACTICAL_DEPTH,Specialization creates tactical rock-paper-scissors
Environmental_Air_Defense,Tactical Counter,Environmental features provide anti-air defense,Indoor; underground; and covered environments negate flight,Covered environments eliminate flight advantage; Underground combat impossible for fliers,TACTICAL_CHOICE,Environment selection becomes tactical decision vs flight
Altitude_Ammunition_Effectiveness,Integration Point,High altitude affects ammunition effectiveness,Thin air and distance reduce ammunition effectiveness,Altitude 3+: -1CS ammunition accuracy; Altitude 5+: -2CS ammunition accuracy,REALISM_INTEGRATION,High altitude sniping requires compensation
Flight_Fuel_Consumption,Resource Management,Powered flight requires fuel or energy,Tech-based and vehicle-based flight consume resources,Tech flight: 1 energy per hour; Vehicle flight: Fuel consumption based on vehicle type,RESOURCE_MANAGEMENT,Flight becomes resource management decision
Flight_Equipment_Requirements,Equipment Integration,Flight requires appropriate equipment for safety and effectiveness,Different flight types require different equipment support,Natural flight: No equipment; Tech flight: Maintenance required; Vehicle flight: Vehicle condition affects safety,EQUIPMENT_DEPENDENCY,Flight effectiveness tied to equipment condition and availability