Power_Name,Power_Level,Action_Point_Cost,Range_Squares,Duration_Turns,Attack_Type,Damage_Formula,Column_Shift_Bonus,Area_of_Effect,Bypass_Armor,Status_Effect_Caused,Possible_Drawback,Environmental_Interaction,Power_vs_Power_Interaction,Threat_Level_Scaling
Invisibility,Low,2,Self,10,Utility,No damage,+3CS Stealth,Single target,No,Invisible,Revealed if making noise,Can move unseen,Countered by enhanced senses,+2 turns per threat level
Invisibility,High,3,Self,20,Utility,No damage,+4CS Stealth,Single target,No,Invisible,None if careful,Undetectable by most sensors,Only quantum detection works,+5 turns per threat level
Super Strength,Low,1,Touch,Instant,Physical,STR+20 damage,+2CS lifting,Single target,Physical armor only,Knockback,May damage surroundings,Can throw objects,Countered by immovable objects,+10 damage per threat level
Super Strength,High,2,Touch,Instant,Physical,STR+50 damage,+4CS lifting,Single target,Physical armor only,Knockback + Stun,Always damages surroundings,Can throw vehicles,Countered only by equal strength,+25 damage per threat level
Psychic Persuasion,Low,3,10,5,Mental,No damage,-,Single target,All armor,Mind Controlled,Unintentional influence,No physical barriers,Countered by strong will,+1 target per threat level
Psychic Persuasion,High,4,20,10,Mental,No damage,-,Multiple targets,All armor,Mass Mind Control,Ethical complications,Affects entire groups,Countered by psychic shields,+5 targets per threat level
Psychic Blast,Low,2,15,Instant,Mental,25 psychic damage,+1CS accuracy,Single target,All physical armor,Stunned,May harm innocents,Passes through walls,Blocked by psychic defenses,+10 damage per threat level
Psychic Blast,High,4,30,Instant,Mental,80 psychic damage,+3CS accuracy,Area 5x5,All physical armor,Unconscious,Widespread destruction,City-wide devastation,Only psychic immunity works,+40 damage per threat level
Super Speed,Low,1,Special,1,Movement,No damage,+2CS dodge,Self,No,Haste,Control problems,Can run up walls,Countered by time manipulation,+10 movement per threat level
Super Speed,High,2,Special,3,Movement,No damage,+4CS all actions,Self,No,Multiple Actions,Sonic boom damage,Breaks sound barrier,Only temporal powers counter,+20 movement per threat level
Flight,Low,1,Special,Sustained,Movement,No damage,+1CS mobility,Self,No,Flying,Crash risk,Can reach high places,Countered by gravity control,+50 feet altitude per threat level
Flight,High,2,Special,Sustained,Movement,No damage,+3CS mobility,Self,No,Supersonic Flight,Structural damage from speed,Sonic boom,Only reality manipulation counters,+500 feet altitude per threat level
Super Durability,Low,0,Self,Sustained,Defense,No damage,+2CS defense,Self,No,Damage Resistance,Reduced agility (-1CS),Small arms immunity,Bypassed by armor-piercing,+5 damage reduction per threat level
Super Durability,High,0,Self,Sustained,Defense,No damage,+4CS defense,Self,No,Tank-level Resistance,Clumsiness (-2CS agility),Tank shell immunity,Only exotic weapons work,+15 damage reduction per threat level
Time Travel,Low,5,Self,Special,Utility,No damage,-,Self,No,Time Displaced,Mental strain,Changes past/future,Paradox creation risk,+5 minutes time range per threat level
Time Travel,High,8,Self,Special,Utility,Reality damage,+5CS tactical,Self,All,Timeline Shift,Madness risk,Alters entire reality,Creates timeline wars,+1 hour time range per threat level
Sound Absorption,Low,2,10,5,Utility,No damage,+2CS stealth,Area 3x3,No,Silenced,Cannot communicate,Creates dead zones,Countered by visual detection,+5 decibel absorption per threat level
Sound Absorption,High,3,20,10,Utility,20 sonic damage,+4CS stealth,Area 7x7,No,Deafened,Tactical communication loss,Absorbs explosions,Releases as sonic weapon,+20 decibel absorption per threat level
Metal Manipulation,Low,2,15,3,Physical,Variable,+2CS vs metal,Line of sight,Bypasses metal armor,Disarmed (metal weapons),Limited to small objects,Can create metal barriers,Countered by non-metal,+1 ton manipulation per threat level
Metal Manipulation,High,4,30,10,Physical,Variable,+4CS vs metal,Line of sight,Destroys metal armor,Metal objects turned to weapons,Building structure damage,Can control entire buildings,Only ceramics immune,+10 ton manipulation per threat level
Gravitational Field Manipulation,Low,3,10,3,Physical,Variable,+2CS lifting,Area 3x3,No,Weightless or Heavy,May affect allies,Localized gravity wells,Countered by flight,+100 lb manipulation per threat level
Gravitational Field Manipulation,High,5,25,8,Physical,Variable,+4CS area control,Area 10x10,No,Gravity Crushed,Structural damage to buildings,Can create black holes,Only reality powers counter,+1 ton manipulation per threat level
Fire Generation,Low,2,8,3,Energy,30 fire damage,+1CS accuracy,Single target,Energy armor only,Burning,May cause wildfires,Ignites flammable materials,Countered by water/ice,+10 damage per threat level
Fire Generation,High,4,20,8,Energy,75 fire damage,+3CS area,Area 5x5,Energy armor only,Burning + Smoke,Widespread fire damage,Burns entire city blocks,Only total immunity works,+30 damage per threat level
Fire Manipulation,Low,3,15,5,Energy,Variable,+2CS control,Multiple targets,Energy armor only,Burning,Fire spread beyond control,Can redirect existing fires,Water weakens control,+2 fire sources per threat level
Fire Manipulation,High,5,30,12,Energy,Variable,+4CS mass control,Area 15x15,Energy armor only,Inferno,Uncontrollable firestorms,Controls all fire in area,Only absolute zero counters,+10 fire sources per threat level
Telekinesis,Low,2,12,3,Physical,Variable,+2CS throwing,Line of sight,No,Lifted,Concentration required,Can move objects remotely,Blocked by will-powered shields,+100 lb force per threat level
Telekinesis,High,4,25,10,Physical,Variable,+4CS mass manipulation,Line of sight,No,Telekinetic Crush,Mental exhaustion,Can fly by lifting self,Only psychic immunity blocks,+1 ton force per threat level
Enhanced Inventing,Low,0,Special,Permanent,Utility,No damage,+3CS tech use,Self,No,Tech Genius,Requires materials,Can jury-rig equipment,Countered by EMP,+1 tech level per threat level
Enhanced Inventing,High,0,Special,Permanent,Utility,No damage,+5CS tech creation,Self,No,Reality-Tech Creation,May create dangerous tech,Creates impossible devices,Only magic disrupts,+3 tech levels per threat level
Technopathy,Low,2,20,5,Utility,Variable,+3CS tech control,Electronic devices,No,Hacked,May affect friendly tech,Controls all electronics,Countered by manual systems,+5 devices per threat level
Technopathy,High,4,50,15,Utility,Variable,+5CS mass tech control,All technology in area,No,System Override,Uncontrolled tech activation,City-wide tech control,Only analog tech immune,+50 devices per threat level
Reality Warping,Low,6,5,1,Reality,Variable,+3CS impossible actions,Small area,All,Local Reality Change,Reality backlash,Alters physics locally,Countered by reality anchors,+1 law of physics per threat level
Reality Warping,High,10,15,5,Reality,Infinite,+5CS godlike power,Large area,All,Reality Rewrite,Universal consequences,Changes fundamental reality,Only equal power counters,+5 laws of physics per threat level
Dimensional Storage,Low,1,Touch,Permanent,Utility,No damage,-,Objects only,No,Stored,Living things die in storage,Can hide large objects,Items may be lost between dimensions,+10 cubic feet per threat level
Dimensional Storage,High,2,10,Permanent,Utility,No damage,-,Multiple objects,No,Mass Storage,Dimensional instability,Can store buildings,Risk of dimensional collapse,+1000 cubic feet per threat level
Bio-Energy Projection,Low,3,12,Instant,Energy,Own health as damage,+2CS accuracy,Single target,Energy armor only,Energy Drained,Weakens user,Affects living tissue,Blocked by life shields,Damage = health spent × threat level
Bio-Energy Projection,High,5,25,Instant,Energy,Own health as damage × 3,+4CS area,Area 7x7,Energy armor only,Life Drained,May kill user,Affects all living things,Only death immunity blocks,Damage = health spent × 3 × threat level
Quantum Entanglement,Low,4,50,10,Utility,No damage,-,Two targets,No,Quantumly Linked,Link may break unexpectedly,Actions affect both targets,Broken by quantum interference,+1 additional target per threat level
Quantum Entanglement,High,6,Unlimited,25,Utility,No damage,-,Multiple targets,No,Quantum Network,Reality instability,Universe-wide connections,Only quantum immunity works,+5 targets per threat level
Molecular Disintegration,Low,4,5,Instant,Physical,50 disintegration,+3CS vs structures,Single target,All armor,Disintegrated,Cannot control precision,Destroys any material,Countered by molecular control,+25 damage per threat level
Molecular Disintegration,High,6,15,Instant,Physical,200 disintegration,+5CS mass destruction,Area 5x5,All armor,Completely Disintegrated,Destroys everything nearby,Erases from existence,Nothing can counter,+100 damage per threat level
Chrono-Spatial Manipulation,Low,5,10,3,Reality,Variable,+3CS space-time,Small area,All,Time-Space Shifted,May become lost in space-time,Teleports through time,Countered by temporal anchors,+1 minute time shift per threat level
Chrono-Spatial Manipulation,High,8,25,10,Reality,Variable,+5CS reality control,Large area,All,Temporal-Spatial Lock,Risk of timeline destruction,Merges locations across time,Only cosmic power counters,+1 hour time shift per threat level
Probability Manipulation,Low,3,15,5,Reality,Variable,+2CS luck,Area effect,No,Lucky/Unlucky,Unpredictable outcomes,Changes chance of success,Countered by certainty effects,+10% probability change per threat level
Probability Manipulation,High,5,30,15,Reality,Variable,+4CS fate control,Large area,All,Destiny Altered,Reality backlash,Controls all random events,Only fate immunity works,+25% probability change per threat level
Memory Imprinting,Low,3,Touch,Permanent,Mental,No damage,-,Single target,All armor,False Memories,Memories may conflict,Changes personality,Blocked by mental shields,+1 memory per threat level
Memory Imprinting,High,5,10,Permanent,Mental,No damage,-,Multiple targets,All armor,Complete Personality Change,Mass memory alteration,Rewrites entire identity,Only perfect memory counters,+10 memories per threat level
Adaptive Camouflage,Low,2,Self,10,Utility,No damage,+3CS stealth,Self,No,Camouflaged,Movement reveals position,Blends with environment,Countered by motion detectors,+5 turns duration per threat level
Adaptive Camouflage,High,3,Self,20,Utility,No damage,+5CS invisibility,Self,No,Perfect Camouflage,None,Invisible to all detection,Only quantum sensors work,+10 turns duration per threat level