Power_ID,Power_Name,Power_Category,Power_Subcategory,Power_Tags,Description,Low_Level_Description,High_Level_Description,Observed_Regions,Combat_Application,Investigation_Application,Possible_Drawbacks,Search_Keywords
POW_001,Super Strength,Physical,Enhancement,"strength,physical,lifting,breaking,melee","Enhanced physical strength beyond normal human limits allowing lifting of extremely heavy objects and devastating melee attacks","Can lift objects weighing a few thousand pounds and deliver enhanced melee damage","Can lift objects weighing millions of tons and punch through reinforced structures","South America, Caribbean, Southeast Asia, Africa","Melee damage bonus; Object throwing; Environmental destruction","Physical investigation tasks; Intimidation; Breaking barriers","May accidentally harm people or destroy property","strength,strong,lift,break,punch,physical,melee"
POW_002,Super Speed,Physical,Enhancement,"speed,fast,movement,multiple,actions","Enhanced movement and reaction speed allowing superhuman velocity and multiple actions per turn","Can outrun most animals and take extra actions in combat","Can move at speeds exceeding sound and take numerous actions per turn","Worldwide distribution","Multiple actions; Enhanced initiative; Movement bonuses","Time-sensitive investigation; Quick evidence gathering; Surveillance","May lose control at high speeds; Collateral damage","speed,fast,quick,multiple,actions,velocity,movement"
POW_003,Flight,Physical,Movement,"flight,flying,aerial,altitude,mobility","Ability to fly through various means including wings or other propulsion methods","Can fly at slower speeds up to 30 mph at low altitude","Can fly at supersonic speeds and extreme altitudes","Worldwide distribution","Altitude advantage; Aerial mobility; 3D tactical positioning","Aerial surveillance; Inaccessible location access; Quick travel","May crash if powers fail; Altitude vulnerability","flight,fly,aerial,wings,soar,altitude,air"
POW_004,Super Durability,Physical,Defense,"durability,tough,resistant,armor,defense","Enhanced physical resilience making character resistant to damage and injury","Can withstand small arms fire and hand-to-hand combat","Can withstand tank artillery and extreme punishment","Worldwide distribution","Damage reduction; Status effect resistance; Prolonged combat","Dangerous environment investigation; Hazard resistance","May become overconfident; Reduced agility","durability,tough,resistant,armor,defense,resilient"
POW_005,Invisibility,Physical,Stealth,"invisibility,stealth,hidden,unseen,camouflage","Ability to render self invisible to various forms of detection","Can become invisible to naked eye but detectable by sound","Can become invisible to all detection including sensors","North America, Central America, South America, Africa","Stealth attacks; Surprise bonuses; Reconnaissance","Covert surveillance; Stealth investigation; Evidence gathering","Revealed if making noise; Limited duration","invisible,stealth,hidden,unseen,camouflage,sneak"
POW_006,Psychic Persuasion,Mental,Control,"psychic,mental,mind,control,influence,persuasion","Ability to influence thoughts and emotions of others through mental power","Can influence emotions and thoughts of individuals","Can influence emotions and thoughts of entire groups","America, Central Asia, South Asia, Caribbean, Africa","Mind control; Social manipulation; Information extraction","Information gathering; Interrogation; Social investigation","May unintentionally manipulate; Ethical concerns","psychic,mental,mind,control,influence,persuade,emotion"
POW_007,Psychic Blast,Mental,Attack,"psychic,mental,blast,attack,psionic,energy","Ability to project blasts of psionic energy that damage or incapacitate","Can incapacitate single person with psionic blast","Can generate city-leveling psionic explosions","America, Southeast Europe, Oceania, Africa","Mental damage; Bypass physical armor; Area attacks","Mental interrogation; Breaking mental defenses","May accidentally harm innocents; Uncontrolled power","psychic,mental,blast,attack,psionic,brain,mind"
POW_008,Time Travel,Temporal,Manipulation,"time,travel,temporal,past,future,timeline","Ability to travel to past or future timelines","Can travel 30 minutes to past or future","Can travel far into past or future across timelines","India, United States, China, Nigeria","Timeline manipulation; Precognition; Tactical advantage","Historical investigation; Future intelligence; Timeline analysis","Risk of temporal paradoxes; Timeline madness","time,travel,temporal,past,future,timeline,history"
POW_009,Fire Generation,Elemental,Creation,"fire,flame,heat,burn,ignite,thermal","Ability to create and generate fire through supernatural means","Can create fire in small controlled areas","Can create massive fires affecting large areas","United States, Canada, Mexico, Central America, South America","Fire damage; Area denial; Environmental ignition","Fire scene investigation; Arson analysis; Heat application","May cause uncontrolled fires; Environmental damage","fire,flame,burn,heat,ignite,thermal,blaze"
POW_010,Fire Manipulation,Elemental,Control,"fire,control,flame,manipulation,redirect","Ability to create and control existing fire sources","Can control fire in small areas at a time","Can simultaneously control fire over large areas","Europe, Kenya, North and South America","Fire redirection; Enhanced fire damage; Fire immunity","Fire investigation; Arson control; Evidence preservation","May lose control; Widespread fire damage","fire,control,manipulation,redirect,flame,command"
POW_011,Telekinesis,Mental,Manipulation,"telekinesis,mind,move,objects,psychic,force","Ability to move objects with mental power alone","Can move one small object with limited force","Can move large objects or many objects with great force","Brazil, Venezuela, Colombia, Ecuador, Peru, Bolivia, Chile","Object manipulation; Remote attacks; Environmental control","Remote evidence gathering; Object analysis; Barrier removal","Mental exhaustion; Concentration required","telekinesis,psychic,move,objects,mind,force,mental"
POW_012,Metal Manipulation,Elemental,Control,"metal,steel,iron,magnetic,manipulation,control","Ability to shape and control metallic substances","Can manipulate small metal amounts with limited precision","Can manipulate large metal amounts with great precision","North Korea","Metal shaping; Weapon creation; Structural manipulation","Metal evidence analysis; Lock manipulation; Tool creation","Limited to metallic objects; May damage infrastructure","metal,steel,iron,magnetic,manipulation,shape,control"
POW_013,Gravitational Field Manipulation,Physics,Manipulation,"gravity,gravitational,field,weight,mass,physics","Ability to alter gravitational fields affecting object weight","Can create small gravity fields affecting light objects","Can create large gravity fields lifting massive objects","United States","Weight manipulation; Object lifting; Movement control","Access to elevated areas; Heavy object manipulation","May affect allies unintentionally; Energy intensive","gravity,gravitational,weight,mass,field,physics,lift"
POW_014,Sound Absorption,Sonic,Manipulation,"sound,sonic,absorption,silence,quiet,acoustic","Ability to absorb sound around self creating silence","Can nullify sounds up to 20 decibels","Can absorb 140+ decibels and redirect as weapons","South America, China, India, Tanzania","Stealth enhancement; Sonic weapons; Communication disruption","Silent surveillance; Sound analysis; Noise elimination","Cannot communicate while active; May miss audio cues","sound,sonic,silence,quiet,absorb,acoustic,noise"
POW_015,Enhanced Inventing,Mental,Enhancement,"invention,engineering,technology,creation,innovation","Genius-level intellect for creating and designing technology","Can create simple objects or needs materials for complex items","Can create anything imaginable with available materials","United States, Canada, Mexico","Equipment creation; Tactical advantage through invention","Technology analysis; Equipment modification; Innovation","Requires materials; Time-intensive creation process","invention,engineer,technology,create,innovate,build,design"
POW_016,Perfect Recollection,Mental,Enhancement,"memory,recall,remember,perfect,photographic,retention","Ability to perfectly remember everything seen or heard","Can remember specific details with effort to 'record'","Can remember every detail of all experiences perfectly","Russia, Ukraine, Belarus","Tactical memory; Pattern recognition; Information retention","Perfect evidence recall; Witness testimony; Detail analysis","Cannot forget traumatic memories; Information overload","memory,recall,remember,perfect,photographic,retain"
POW_017,Technopathy,Technology,Control,"technology,tech,control,cyber,electronic,digital","Ability to control technology and electronic devices with mind","Can control limited technology in limited ways","Can control all forms of technology simultaneously","United Kingdom, Germany, Central Asia","Electronic warfare; System control; Technology manipulation","Digital investigation; System hacking; Electronic analysis","May affect friendly technology; EMP vulnerability","technology,tech,control,cyber,electronic,digital,hack"
POW_018,Reality Warping,Cosmic,Manipulation,"reality,cosmic,universal,physics,fundamental,god","Ultimate power to manipulate fundamental reality and physics","Can alter physics locally in small areas","Can change fundamental reality across large areas","Luxembourg, Liechtenstein, Cyprus, Malta","Physics manipulation; Reality alteration; Ultimate power","Reality analysis; Impossible investigation solutions","Universal consequences; Reality backlash risk","reality,cosmic,universal,physics,fundamental,god,ultimate"
POW_019,Adaptive Camouflage,Physical,Stealth,"camouflage,stealth,blend,environment,chameleon,hide","Ability to blend seamlessly into surroundings becoming nearly invisible","Can blend with environment but movement reveals position","Can achieve perfect camouflage invisible to all detection","Russia, Brazil, Spain, South Africa","Environmental stealth; Surprise attacks; Reconnaissance","Environmental surveillance; Covert observation; Stealth investigation","Movement reveals position; Technology may detect","camouflage,stealth,blend,environment,chameleon,hide"
POW_020,Bio-Energy Projection,Energy,Projection,"bio,energy,life,projection,health,vital","Convert biological energy into powerful energy attacks","Weak energy blasts using small amounts of life energy","Massive energy attacks using significant life energy","United States, China, France, India","Life-energy attacks; Healing energy; Biological manipulation","Life energy analysis; Biological investigation; Energy tracking","Weakens or may kill user; Energy depletion","bio,energy,life,projection,health,vital,living"
POW_021,Quantum Entanglement,Physics,Manipulation,"quantum,entanglement,connection,physics,particles","Create quantum connections between objects for communication/transport","Can entangle two objects for limited connection","Can create quantum networks across unlimited distance","United Kingdom, Japan, Germany, Italy","Instant communication; Quantum teleportation; Particle manipulation","Quantum investigation; Instant information; Physics analysis","Connection instability; Quantum interference vulnerability","quantum,entanglement,connection,physics,particles,link"
POW_022,Molecular Disintegration,Physics,Destruction,"molecular,disintegration,destroy,atoms,break,dissolve","Break down molecular bonds causing objects to disintegrate","Can disintegrate small objects through direct contact","Can disintegrate anything including people and structures","Saudi Arabia, UAE, Jordan, Lebanon","Ultimate destruction; Barrier removal; Weapon neutralization","Evidence destruction; Barrier removal; Material analysis","Cannot control precision; May destroy everything nearby","molecular,disintegration,destroy,atoms,break,dissolve"
POW_023,Chrono-Spatial Manipulation,Temporal,Manipulation,"time,space,dimension,teleport,temporal,spatial","Manipulate both time and space in localized areas","Can pause time briefly or teleport short distances","Can merge locations across time or create temporal loops","Switzerland, Belgium, Austria, Denmark","Time-space control; Tactical repositioning; Temporal advantage","Space-time investigation; Dimensional analysis; Timeline tracking","May become lost in space-time; Reality distortion risk","time,space,dimension,teleport,temporal,spatial,warp"
POW_024,Harmonic Resonance,Sonic,Manipulation,"harmonic,resonance,frequency,vibration,sonic,wave","Manipulate vibrational frequencies creating powerful harmonic effects","Can disrupt simple electronics and create minor vibrations","Can disrupt entire city infrastructure and create earthquakes","Canada, Australia, South Korea, Argentina","Technology disruption; Structural damage; Sonic attacks","Electronic disruption; Frequency analysis; Sound investigation","May disrupt friendly technology; Uncontrolled frequency effects","harmonic,resonance,frequency,vibration,sonic,wave"
POW_025,Energy Siphoning,Energy,Absorption,"energy,siphon,drain,absorb,steal,power","Drain energy from various sources and convert for personal use","Can drain small amounts from nearby sources","Can drain massive energy from multiple sources","Mexico, Egypt, Sweden, Indonesia","Energy attacks; Power restoration; Energy denial","Energy analysis; Power source investigation; Energy tracking","May drain friendly sources; Energy overload risk","energy,siphon,drain,absorb,steal,power,battery"
POW_026,Multidimensional Awareness,Cosmic,Perception,"dimensional,awareness,multiverse,perception,reality,cosmic","Perceive events and information across multiple dimensions","Can sense nearby dimensional activity","Can perceive events across infinite dimensional variants","Greece, Israel, Chile, Norway","Dimensional intelligence; Reality awareness; Cosmic perception","Dimensional investigation; Reality analysis; Multiverse tracking","Information overload; Dimensional madness risk","dimensional,awareness,multiverse,perception,reality,cosmic"
POW_027,Emotion Negation,Mental,Control,"emotion,negation,suppress,feeling,mental,control","Suppress emotions of others preventing fear, pain, or anger","Can suppress single emotion in individual targets","Can eliminate all emotions in multiple targets","Colombia, Turkey, New Zealand, Vietnam","Emotional warfare; Fear removal; Pain suppression","Emotional investigation; Psychological analysis; Witness cooperation","May affect allies; Emotional detachment consequences","emotion,negation,suppress,feeling,mental,control,calm"
POW_028,Thought Induction,Mental,Control,"thought,induction,implant,idea,mental,suggestion","Plant thoughts or ideas into minds of others","Can suggest simple thoughts to individuals","Can implant complex ideas in multiple minds","Argentina, Portugal, Netherlands, Poland","Mental manipulation; Idea implantation; Psychological warfare","Information implantation; Witness suggestion; Mental investigation","May accidentally affect allies; Mental confusion risk","thought,induction,implant,idea,mental,suggestion,plant"
POW_029,Dimensional Storage,Spatial,Utility,"dimensional,storage,pocket,space,item,portal","Store objects in alternate dimension for later retrieval","Can store small objects with risk of loss","Can store massive objects including buildings","United Kingdom, France, Italy, Spain","Equipment storage; Weapon concealment; Item transport","Evidence concealment; Equipment transport; Storage investigation","Living things die in storage; Items may be lost","dimensional,storage,pocket,space,item,portal,hide"
POW_030,Omnifabrication,Technology,Creation,"fabrication,creation,construction,build,make,technology","Design and create any object that can be conceived","Can create simple objects or needs materials for complex items","Can create anything imaginable without any materials","Japan, South Korea, Thailand","Equipment creation; Tactical advantage; Instant tools","Tool creation; Equipment modification; Evidence creation","May lack materials; Creation time required","fabrication,creation,construction,build,make,technology"
Power_Category_Physical,Category Type,Physical powers affecting body and environment,Powers that enhance or modify physical capabilities,Enhanced strength; speed; durability; flight; stealth,Physical category focuses on bodily enhancement and environmental interaction,Combat effectiveness through physical superiority,Investigation through enhanced physical capabilities,Physical powers may have physical limitations or side effects
Power_Category_Mental,Category Type,Mental powers affecting mind and consciousness,Powers that manipulate thought; emotion; memory; perception,Psychic powers; mind control; telepathy; mental attacks,Mental category focuses on consciousness and psychological effects,Combat effectiveness through mental manipulation,Investigation through psychological analysis and mental techniques,Mental powers may cause psychological strain or ethical concerns
Power_Category_Elemental,Category Type,Powers controlling natural elements,Powers that create; control; or manipulate natural forces,Fire; ice; water; earth; air; lightning; nature control,Elemental category focuses on natural force manipulation,Combat effectiveness through elemental attacks and environmental control,Investigation through elemental analysis and environmental manipulation,Elemental powers may cause environmental damage or be limited by environment
Power_Category_Energy,Category Type,Powers involving energy manipulation,Powers that create; absorb; project; or control energy,Energy blasts; energy absorption; bio-energy; electromagnetic,Energy category focuses on various forms of energy manipulation,Combat effectiveness through energy attacks and energy-based effects,Investigation through energy analysis and power source investigation,Energy powers may deplete user or cause energy overload
Power_Category_Technology,Category Type,Powers involving technological control or enhancement,Powers that interface with; control; or enhance technology,Technopathy; cybernetic enhancement; AI control; electronic manipulation,Technology category focuses on technological interaction and enhancement,Combat effectiveness through technology control and enhancement,Investigation through technological analysis and digital investigation,Technology powers may be limited by available technology or vulnerable to EMP
Power_Category_Temporal,Category Type,Powers affecting time and temporal mechanics,Powers that manipulate time flow; travel through time; affect timelines,Time travel; temporal manipulation; precognition; timeline control,Temporal category focuses on time manipulation and timeline effects,Combat effectiveness through temporal advantages and timeline manipulation,Investigation through temporal analysis and historical investigation,Temporal powers may cause paradoxes or timeline instability
Power_Category_Spatial,Category Type,Powers affecting space and dimensions,Powers that manipulate space; dimensions; portals; spatial relationships,Teleportation; dimensional manipulation; spatial warping; portal creation,Spatial category focuses on space and dimensional manipulation,Combat effectiveness through spatial advantages and dimensional tactics,Investigation through spatial analysis and dimensional investigation,Spatial powers may cause dimensional instability or spatial displacement
Power_Category_Cosmic,Category Type,Powers affecting fundamental reality,Powers that manipulate reality; universal constants; cosmic forces,Reality warping; universal manipulation; cosmic awareness; deity-level powers,Cosmic category focuses on universal and reality-affecting powers,Combat effectiveness through reality manipulation and cosmic-scale effects,Investigation through cosmic analysis and reality investigation,Cosmic powers may threaten universal stability or cause reality backlash
Power_Tag_Combat,Tag Type,Powers primarily useful in combat situations,Combat-focused powers for tactical advantage,Damage dealing; defensive; tactical positioning; battlefield control,Combat tags identify powers most useful in tactical situations,Primary combat application with tactical advantages,Limited investigation application focused on combat scenarios,Combat powers may be less useful outside combat situations
Power_Tag_Investigation,Tag Type,Powers primarily useful for investigation,Investigation-focused powers for information gathering,Detection; analysis; stealth; information gathering; evidence collection,Investigation tags identify powers most useful for case-solving,Limited combat application focused on information warfare,Primary investigation application with information advantages,Investigation powers may be less useful in direct combat
Power_Tag_Utility,Tag Type,Powers useful for general problem-solving,Utility powers providing general capability enhancement,Transportation; communication; storage; creation; environmental adaptation,Utility tags identify powers useful for general problem-solving,Indirect combat application through tactical support,Indirect investigation application through capability enhancement,Utility powers may lack direct combat or investigation focus
Power_Tag_Social,Tag Type,Powers affecting social interaction,Social powers for relationship and communication enhancement,Mind control; emotion manipulation; telepathy; charisma enhancement,Social tags identify powers affecting interpersonal dynamics,Combat application through psychological warfare,Investigation application through social manipulation and information gathering,Social powers may have ethical implications or social consequences
Power_Tag_Environmental,Tag Type,Powers interacting with environment,Environmental powers affecting surroundings and terrain,Elemental control; weather manipulation; terrain modification; environmental adaptation,Environmental tags identify powers that modify or interact with surroundings,Combat application through environmental battlefield control,Investigation application through environmental analysis and manipulation,Environmental powers may cause ecological damage or environmental consequences
Power_Tag_Stealth,Tag Type,Powers providing concealment or detection avoidance,Stealth powers for avoiding detection and surveillance,Invisibility; camouflage; sound absorption; stealth enhancement,Stealth tags identify powers useful for avoiding detection,Combat application through surprise attacks and reconnaissance,Investigation application through covert surveillance and stealth investigation,Stealth powers may be vulnerable to detection methods or technology
Power_Tag_Enhancement,Tag Type,Powers that enhance existing capabilities,Enhancement powers that improve natural abilities,Stat enhancement; skill improvement; capability augmentation,Enhancement tags identify powers that improve existing character capabilities,Combat application through improved combat statistics and capabilities,Investigation application through enhanced investigation capabilities,Enhancement powers may require maintenance or have temporary effects
Power_Tag_Control,Tag Type,Powers that control external forces or entities,Control powers for manipulating outside forces,Mind control; technology control; elemental control; entity control,Control tags identify powers that manipulate external forces beyond the user,Combat application through controlling battlefield elements or opponents,Investigation application through controlling investigation tools or subjects,Control powers may face resistance or lose control
Power_Tag_Destruction,Tag Type,Powers focused on destruction and damage,Destructive powers for eliminating obstacles or enemies,Molecular disintegration; energy blasts; explosive powers; destructive manipulation,Destruction tags identify powers focused on eliminating or destroying,Combat application through direct damage dealing and obstacle removal,Investigation application through evidence destruction or barrier removal,Destructive powers may cause excessive collateral damage
Power_Tag_Creation,Tag Type,Powers that create objects or effects,Creative powers for generating new things,Object creation; energy generation; fabrication; construction,Creation tags identify powers that generate or create new elements,Combat application through creating tactical advantages or equipment,Investigation application through creating investigation tools or evidence,Creation powers may require materials or energy
Power_Rarity_Common,Rarity Level,Powers observed in multiple regions globally,Widely distributed powers appearing in many countries,Super strength; super speed; flight; basic enhancement powers,Common powers appear frequently in character generation and NPC populations,Easily countered due to familiarity; Well-understood limitations,Standard investigation techniques developed for common powers,Common powers may lack uniqueness or tactical surprise
Power_Rarity_Uncommon,Rarity Level,Powers observed in specific regions or countries,Regionally distributed powers with limited global presence,Regional elemental powers; cultural-specific abilities; nation-limited enhancements,Uncommon powers provide moderate tactical advantage through unfamiliarity,Some specialized counter-techniques exist; Moderate tactical surprise,Specialized investigation techniques required for uncommon powers,Uncommon powers may lack widespread understanding or support
Power_Rarity_Rare,Rarity Level,Powers observed in very few locations,Highly limited distribution with special circumstances,Advanced technology powers; unique alien symbioses; reality-affecting abilities,Rare powers provide significant tactical advantage through novelty,Few known counters; High tactical surprise; Requires specialized response,Rare powers require specialized investigation approaches and expertise,Rare powers may lack established limitations or understanding
Power_Rarity_Ultra_Rare,Rarity Level,Powers observed in 1-3 locations globally,Extremely limited cosmic or reality-affecting powers,Reality warping; timeline manipulation; universal constant manipulation,Ultra-rare powers provide overwhelming tactical advantage,No established counters; Ultimate tactical surprise; Reality-threatening implications,Ultra-rare powers require cosmic investigation techniques and reality-scale analysis,Ultra-rare powers may threaten universal stability or fundamental reality
Power_Origin_Skilled_Human,Origin Category,Training and natural talent development,Human achievement through dedication and training,Martial arts mastery; peak human performance; skill-based abilities,Skilled human origins provide reliable baseline capabilities,Investigation through human skill and training advantages,Skilled human limitations include human physical and mental constraints
Power_Origin_Altered_Human,Origin Category,Genetic or chemical modification enhancement,Human enhancement through scientific or unknown modification,Super-soldier serum; genetic mutation; chemical enhancement,Altered human origins provide enhanced human capabilities,Investigation through enhanced human abilities and scientific analysis,Altered human modifications may have side effects or instability
Power_Origin_Tech_Enhancement,Origin Category,Technology-based power augmentation,Powers derived from advanced technology and equipment,Cybernetic implants; power armor; technological integration,Tech enhancement origins provide technology-based capabilities,Investigation through technological analysis and equipment advantages,Tech enhancement vulnerable to EMP; requires maintenance; dependent on technology
Power_Origin_Spiritual_Enhancement,Origin Category,Powers from spiritual or mystical sources,Abilities granted through spiritual connection or blessing,Divine blessing; spiritual communion; mystical enhancement,Spiritual enhancement origins provide supernatural capabilities,Investigation through spiritual analysis and mystical investigation techniques,Spiritual enhancement may conflict with technology or be vulnerable to spiritual attacks
Power_Origin_Alien_Symbiosis,Origin Category,Partnership with alien entities,Powers shared through alien creature partnership,Alien symbiotes; entity bonding; extraterrestrial cooperation,Alien symbiosis origins provide unique alien capabilities,Investigation through alien analysis and xenobiology techniques,Alien symbiosis may have alien agenda conflicts or communication difficulties